,avg,max,day,hour,latitude,longitude
7044,1.1339144372328638,1,Saturday,18,49.28941,-123.11676
7045,0.9007049995461376,1,Friday,15,49.28941,-123.11676
7046,1.0204781816232444,1,Friday,19,49.28941,-123.11676
7047,0.981290643371779,1,Wednesday,13,49.28941,-123.11676
7048,0.9010486745205986,1,Thursday,8,49.28941,-123.11676
7049,0.822112360542491,1,Monday,19,49.28941,-123.11676
7050,0.9290130844104038,1,Thursday,14,49.28941,-123.11676
7051,0.9072111943383102,1,Sunday,14,49.28941,-123.11676
7052,0.8269914854339733,1,Monday,15,49.28941,-123.11676
7053,0.3939562768727669,0,Thursday,7,49.28941,-123.11676
7054,-1,-1,Monday,9,49.28941,-123.11676
7055,0.9010486745205986,1,Thursday,10,49.28941,-123.11676
7056,0.8201505016722408,1,Tuesday,18,49.28941,-123.11676
7057,0.7673099353196904,1,Monday,18,49.28941,-123.11676
7058,0.7519797683215637,1,Saturday,11,49.28941,-123.11676
7059,1.0415752761475685,1,Thursday,16,49.28941,-123.11676
7060,0.8999008819483777,1,Friday,11,49.28941,-123.11676
7061,0.586732309936522,1,Sunday,20,49.28941,-123.11676
7062,0.306520134106341,0,Tuesday,7,49.28941,-123.11676
7063,0.5675666403650211,1,Sunday,11,49.28941,-123.11676
7064,0.8802493071980347,1,Sunday,15,49.28941,-123.11676
7065,0.990658299545649,1,Friday,12,49.28941,-123.11676
7066,1.102783154900644,1,Saturday,17,49.28941,-123.11676
7067,0.2891982560404076,0,Friday,7,49.28941,-123.11676
7068,0.8080465799412505,1,Tuesday,13,49.28941,-123.11676
7069,0.09721705385146988,0,Thursday,6,49.28941,-123.11676
7070,0.5451716236705008,0,Monday,20,49.28941,-123.11676
7071,1.0296200177781412,1,Saturday,15,49.28941,-123.11676
7072,0.9545826151194287,1,Sunday,18,49.28941,-123.11676
7073,1.0237393796189231,1,Thursday,13,49.28941,-123.11676
7074,0.852775203377613,1,Tuesday,19,49.28941,-123.11676
7075,0.7103362255965293,1,Friday,20,49.28941,-123.11676
7076,-1,-1,Wednesday,6,49.28941,-123.11676
7077,0.9084560972169041,1,Sunday,13,49.28941,-123.11676
7078,0.5869318697269346,1,Sunday,10,49.28941,-123.11676
7079,0.9290130844104038,1,Sunday,17,49.28941,-123.11676
7080,0.5155254221519282,1,Monday,21,49.28941,-123.11676
7081,0.5191477075874812,1,Saturday,8,49.28941,-123.11676
7082,0.9781411695792248,1,Thursday,19,49.28941,-123.11676
7083,-1,-1,Tuesday,6,49.28941,-123.11676
7084,0.27424765973487464,0,Tuesday,10,49.28941,-123.11676
7085,0.7301453549610281,0,Monday,11,49.28941,-123.11676
7086,0.8802493071980347,1,Tuesday,15,49.28941,-123.11676
7087,0.9758700326511109,1,Saturday,13,49.28941,-123.11676
7088,0.2677051549702907,0,Saturday,6,49.28941,-123.11676
7089,1.0405402756268256,1,Saturday,14,49.28941,-123.11676
7090,0.5058939666686023,1,Sunday,22,49.28941,-123.11676
7091,0.19430155321380413,0,Monday,6,49.28941,-123.11676
7092,0.6100417085824733,1,Tuesday,20,49.28941,-123.11676
7093,0.8756524753282766,1,Monday,17,49.28941,-123.11676
7094,0.53716372981784,1,Sunday,8,49.28941,-123.11676
7095,0.9849671551288529,1,Friday,16,49.28941,-123.11676
7096,0.4322421939695065,0,Sunday,6,49.28941,-123.11676
7097,0.9290130844104038,1,Sunday,21,49.28941,-123.11676
7098,1.08932477035034,1,Saturday,16,49.28941,-123.11676
7099,1.1243236827268321,1,Friday,17,49.28941,-123.11676
7100,0.7097710556755931,1,Friday,8,49.28941,-123.11676
7101,0.7917705735660848,1,Tuesday,14,49.28941,-123.11676
7102,1.1339144372328638,1,Friday,18,49.28941,-123.11676
7103,0.7513466048424231,1,Sunday,19,49.28941,-123.11676
7104,0.7510632416110237,1,Sunday,12,49.28941,-123.11676
7105,0.6347121544634347,1,Thursday,21,49.28941,-123.11676
7106,1.1471302658060933,1,Thursday,17,49.28941,-123.11676
7107,-1,-1,Wednesday,10,49.28941,-123.11676
7108,0.805735981674982,1,Saturday,21,49.28941,-123.11676
7109,1.0715206122188012,1,Thursday,18,49.28941,-123.11676
7110,0.6506262433180338,1,Saturday,22,49.28941,-123.11676
7111,0.695321992709599,1,Saturday,10,49.28941,-123.11676
7112,0.26328389803812857,0,Monday,22,49.28941,-123.11676
7113,0.7215396147703941,1,Tuesday,8,49.28941,-123.11676
7114,1.0726561271039798,1,Wednesday,21,49.28941,-123.11676
7115,0.9403575511690729,1,Friday,14,49.28941,-123.11676
7116,0.7676701293194828,1,Thursday,20,49.28941,-123.11676
7117,1.117703396042023,1,Saturday,19,49.28941,-123.11676
7118,0.7914025960376267,1,Monday,14,49.28941,-123.11676
7119,0.6169516228488144,1,Wednesday,9,49.28941,-123.11676
7120,0.9082694084099763,1,Wednesday,15,49.28941,-123.11676
7121,0.9084560972169041,1,Wednesday,16,49.28941,-123.11676
7122,0.9917461055568473,1,Friday,10,49.28941,-123.11676
7123,0.8971912750245443,1,Sunday,9,49.28941,-123.11676
7124,0.7960630499302591,1,Saturday,20,49.28941,-123.11676
7125,0.9084560972169041,1,Monday,16,49.28941,-123.11676
7126,0.5585883808302025,1,Friday,22,49.28941,-123.11676
7127,0.4177665639170227,0,Wednesday,7,49.28941,-123.11676
7128,0.874228505082191,1,Saturday,12,49.28941,-123.11676
7129,1.0296200177781412,1,Wednesday,19,49.28941,-123.11676
7130,0.9397315675739973,1,Friday,13,49.28941,-123.11676
7131,0.981290643371779,1,Wednesday,11,49.28941,-123.11676
7132,0.9082694084099763,1,Wednesday,14,49.28941,-123.11676
7133,0.8177298698238794,1,Monday,7,49.28941,-123.11676
7134,0.2480423999798575,0,Sunday,7,49.28941,-123.11676
7135,0.6169516228488144,1,Tuesday,22,49.28941,-123.11676
7136,0.9673105789323941,1,Thursday,11,49.28941,-123.11676
7137,-1,-1,Friday,9,49.28941,-123.11676
7138,0.7778933312790489,1,Thursday,9,49.28941,-123.11676
7139,0.766887698265344,1,Tuesday,17,49.28941,-123.11676
7140,0.78335192674197,0,Tuesday,9,49.28941,-123.11676
7141,0.7634605597964377,1,Thursday,22,49.28941,-123.11676
7142,0.27424765973487464,0,Monday,8,49.28941,-123.11676
7143,1.0296200177781412,1,Wednesday,17,49.28941,-123.11676
7144,-1,-1,Tuesday,16,49.28941,-123.11676
7145,0.9226497778845,1,Wednesday,12,49.28941,-123.11676
7146,0.5283960232181754,0,Friday,6,49.28941,-123.11676
7147,0.3796806334063752,0,Saturday,7,49.28941,-123.11676
7148,0.9059746296116975,1,Saturday,9,49.28941,-123.11676
7149,1.0635422544803566,1,Thursday,12,49.28941,-123.11676
7150,0.7301453549610281,0,Monday,10,49.28941,-123.11676
7151,0.831469242501271,1,Monday,13,49.28941,-123.11676
7152,0.7579623712351048,1,Friday,21,49.28765,-123.11536
7153,0.7720394679999308,1,Tuesday,12,49.28765,-123.11536
7154,0.765697170693642,1,Tuesday,11,49.28765,-123.11536
7155,1.0051228520046065,1,Thursday,15,49.28765,-123.11536
7156,1.0550792289860595,1,Saturday,18,49.28765,-123.11536
7157,0.9194272164433809,1,Friday,15,49.28765,-123.11536
7158,0.9900142577741972,1,Friday,19,49.28765,-123.11536
7159,0.9310408148936286,1,Wednesday,13,49.28765,-123.11536
7160,0.3304356125962746,0,Thursday,8,49.28765,-123.11536
7161,0.7752069662238275,1,Monday,19,49.28765,-123.11536
7162,0.9521917463916534,1,Thursday,14,49.28765,-123.11536
7163,0.861837138035175,1,Sunday,14,49.28765,-123.11536
7164,0.8950380114881593,1,Monday,15,49.28765,-123.11536
7165,0.31024599473536524,0,Thursday,7,49.28765,-123.11536
7166,0.6313009295278653,0,Monday,9,49.28765,-123.11536
7167,0.8312931840981075,1,Thursday,10,49.28765,-123.11536
7168,0.8927985205287577,1,Tuesday,18,49.28765,-123.11536
7169,0.9017469514359515,1,Monday,18,49.28765,-123.11536
7170,0.5353255467196819,1,Saturday,11,49.28765,-123.11536
7171,1.0213329519147742,1,Thursday,16,49.28765,-123.11536
7172,0.8830304539042403,1,Friday,11,49.28765,-123.11536
7173,0.830290065020382,1,Sunday,20,49.28765,-123.11536
7174,0.22052887106892508,0,Tuesday,7,49.28765,-123.11536
7175,0.5090992873329588,1,Sunday,11,49.28765,-123.11536
7176,0.5955349075724646,1,Wednesday,20,49.28765,-123.11536
7177,0.8778885539840792,1,Sunday,15,49.28765,-123.11536
7178,0.9842145394960983,1,Friday,12,49.28765,-123.11536
7179,0.3179579281736485,0,Friday,7,49.28765,-123.11536
7180,0.876875320479244,1,Tuesday,13,49.28765,-123.11536
7181,-1,-1,Thursday,6,49.28765,-123.11536
7182,0.4610162855753626,0,Monday,20,49.28765,-123.11536
7183,0.9980515603799186,1,Saturday,15,49.28765,-123.11536
7184,0.6051426418984556,1,Wednesday,22,49.28765,-123.11536
7185,1.0048450964190283,1,Thursday,13,49.28765,-123.11536
7186,0.8927985205287577,1,Tuesday,19,49.28765,-123.11536
7187,0.7178581487044686,1,Friday,20,49.28765,-123.11536
7188,0.6051426418984556,1,Wednesday,6,49.28765,-123.11536
7189,0.5090992873329588,1,Sunday,10,49.28765,-123.11536
7190,0.8870743596436155,1,Sunday,17,49.28765,-123.11536
7191,0.5129528441931714,1,Tuesday,21,49.28765,-123.11536
7192,0.4172038953688826,0,Monday,21,49.28765,-123.11536
7193,0.2933446234264988,0,Saturday,8,49.28765,-123.11536
7194,0.9508238750166912,1,Thursday,19,49.28765,-123.11536
7195,0.22052887106892508,0,Tuesday,6,49.28765,-123.11536
7196,0.7765592163437798,1,Monday,11,49.28765,-123.11536
