index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
23,Cafe Villaggio,"1506 Coal Harbour Quay, Vancouver, BC V6G 3G1",Cafe,49.29121,-123.12786,,,,,,,0%,18%,44%,59%,85%,53%,,82%,33%,34%,76%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,26%,34%,50%,95%,78%,,42%,79%,37%,17%,52%,0%,0%,0%,0%,0%,0%,,,,,,,0%,31%,46%,49%,44%,100%,,42%,36%,78%,24%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,26%,50%,62%,52%,43%,,55%,33%,17%,50%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,26%,43%,60%,81%,43%,,92%,43%,26%,17%,31%,0%,0%,0%,0%,0%,0%,,,,,,,0%,13%,46%,59%,60%,85%,,52%,98%,34%,24%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,31%,27%,65%,62%,60%,,27%,47%,92%,23%,0%,0%,0%,0%,0%,0%,0%,59%,57%,72%,98%,47%,36%,78%,,,,,,,,
24,Trees Organic Coffee,"450 Granville St, Vancouver, BC V6C 1V4",Cafe,49.28484,-123.1143,,,,,,,0%,28%,33%,14%,34%,65%,,52%,65%,85%,64%,73%,40%,49%,38%,61%,0%,0%,,,,,,,0%,0%,36%,41%,17%,42%,,60%,62%,69%,81%,52%,81%,42%,48%,26%,0%,0%,,,,,,,0%,14%,4%,41%,41%,30%,,64%,53%,68%,72%,85%,34%,97%,44%,36%,0%,0%,,,,,,,0%,18%,21%,6%,48%,60%,,42%,49%,52%,70%,89%,80%,30%,100%,24%,0%,0%,,,,,,,0%,4%,41%,42%,14%,44%,,56%,48%,52%,54%,58%,100%,66%,22%,93%,0%,0%,,,,,,,0%,0%,12%,60%,48%,29%,,68%,60%,60%,42%,56%,54%,100%,41%,21%,0%,0%,,,,,,,0%,28%,4%,28%,54%,57%,,66%,74%,66%,70%,48%,49%,42%,82%,25%,0%,0%,65%,58%,46%,37%,62%,52%,34%,,,,,,,,
25,JJ Bean Coffee Roasters,"1188 Alberni St, Vancouver, BC V6E 1A5",Cafe,49.28639,-123.12574,,,,,,,0%,47%,,54%,81%,54%,,90%,56%,,45%,4%,0%,,0%,0%,,0%,,,,,,0%,,25%,65%,,54%,68%,,,100%,38%,,31%,0%,0%,,0%,0%,,,,,,,0%,31%,,36%,81%,,59%,,36%,,84%,25%,,0%,0%,0%,,0%,,,,,,,0%,47%,56%,,63%,70%,,,20%,25%,,61%,34%,,0%,0%,0%,,0%,,,,,,,34%,61%,75%,,79%,65%,,84%,11%,15%,,25%,0%,,0%,0%,0%,,,,,,,0%,,56%,70%,77%,,65%,,,75%,6%,11%,,0%,0%,,0%,0%,,,,,,,0%,18%,,70%,77%,63%,,,65%,,50%,9%,11%,,0%,0%,,0%,,,45%,43%,77%,,59%,81%,,,,,,,,
26,Deville Coffee,"333 Seymour St, Vancouver, BC V6B 5A6",Cafe,49.28534,-123.11246,,,,,,,0%,42%,33%,33%,31%,50%,,87%,40%,33%,46%,30%,28%,0%,0%,0%,0%,0%,,,,,,,0%,0%,46%,36%,37%,33%,,43%,100%,50%,28%,19%,16%,0%,0%,0%,0%,0%,,,,,,,0%,6%,16%,37%,36%,51%,,37%,34%,89%,56%,33%,0%,0%,0%,0%,0%,0%,,,,,,,0%,21%,16%,25%,40%,40%,,57%,48%,27%,74%,46%,28%,0%,0%,0%,0%,0%,,,,,,,0%,45%,37%,27%,36%,39%,,68%,59%,56%,36%,53%,21%,0%,0%,0%,0%,0%,,,,,,,0%,0%,59%,57%,36%,48%,,45%,65%,57%,59%,31%,0%,0%,0%,0%,0%,0%,,,,,,,0%,30%,18%,50%,59%,46%,,45%,37%,59%,46%,37%,19%,0%,0%,0%,0%,0%,53%,42%,40%,57%,48%,51%,69%,,,,,,,,
27,Railtown Café,"429 Granville St, Vancouver, BC V6C 1T2",Cafe,49.28528,-123.11439,,,,,,,0%,2%,23%,0%,44%,69%,,41%,55%,18%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,11%,30%,9%,58%,,53%,34%,30%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,16%,0%,16%,27%,13%,,88%,53%,27%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,6%,11%,0%,32%,39%,,86%,65%,34%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,25%,16%,4%,76%,48%,,34%,55%,30%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,46%,25%,6%,83%,,69%,25%,48%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,20%,0%,53%,37%,18%,,69%,48%,20%,0%,0%,0%,0%,0%,0%,0%,0%,44%,100%,97%,30%,67%,74%,60%,,,,,,,,
28,Melriches Coffeehouse,"1244 Davie St, Vancouver, BC V6E 1N3",Coffee shop,49.28227,-123.13436,,,,,,,0%,20%,,36%,35%,46%,,93%,40%,,48%,11%,5%,,0%,0%,,0%,,,,,,0%,,35%,26%,,40%,35%,,,100%,25%,,38%,6%,0%,,0%,0%,,,,,,,0%,15%,,45%,30%,,38%,,35%,,90%,25%,,21%,0%,0%,,0%,,,,,,,0%,11%,35%,,48%,38%,,,36%,41%,,75%,31%,,0%,0%,0%,,0%,,,,,,,6%,15%,50%,,60%,38%,,21%,36%,48%,,56%,23%,,0%,0%,0%,,,,,,,0%,,18%,31%,51%,,61%,,,26%,35%,36%,,40%,0%,,0%,0%,,,,,,,0%,20%,,31%,33%,48%,,,46%,,38%,25%,18%,,0%,0%,,0%,,,33%,33%,30%,,50%,80%,,,,,,,,
29,Beyond Coffee,"1015 Burrard St, Vancouver, BC V6Z 1Y5",Coffee shop,49.28089,-123.12723,,,,,,,0%,22%,7%,18%,0%,0%,,51%,22%,55%,40%,51%,7%,25%,0%,0%,0%,0%,,,,,,,0%,3%,40%,14%,11%,0%,,18%,48%,37%,40%,44%,37%,7%,0%,0%,0%,0%,,,,,,,0%,29%,0%,33%,11%,14%,,11%,51%,40%,29%,51%,25%,22%,0%,0%,0%,0%,,,,,,,0%,0%,29%,0%,33%,14%,,3%,25%,59%,14%,22%,22%,14%,0%,0%,0%,0%,,,,,,,0%,14%,3%,14%,7%,11%,,33%,18%,22%,100%,7%,33%,11%,0%,0%,0%,0%,,,,,,,0%,18%,7%,11%,14%,25%,,25%,22%,40%,14%,74%,7%,14%,0%,0%,0%,0%,,,,,,,0%,3%,40%,0%,3%,22%,,14%,25%,37%,59%,14%,48%,7%,0%,0%,0%,0%,18%,3%,0%,33%,11%,7%,44%,,,,,,,,
30,Pistachio Sweetery Cafe,"686 Seymour St, Vancouver, BC V6B 3K3",Coffee shop,49.28204,-123.11662,,,,,,,0%,0%,0%,0%,0%,28%,,55%,50%,40%,37%,61%,55%,28%,59%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,40%,,47%,59%,31%,34%,29%,82%,44%,0%,37%,0%,0%,,,,,,,0%,0%,0%,0%,0%,10%,,64%,37%,59%,38%,50%,0%,85%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,40%,,82%,58%,23%,79%,44%,41%,0%,76%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,53%,,34%,74%,56%,25%,88%,47%,40%,0%,49%,0%,0%,,,,,,,0%,0%,0%,0%,0%,28%,,56%,41%,55%,55%,29%,100%,31%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,32%,,68%,44%,32%,52%,56%,34%,80%,0%,0%,0%,0%,47%,56%,68%,29%,59%,74%,44%,,,,,,,,
32,Matchstick Davie Street,"1305 Davie St, Vancouver, BC V6E 1N5",Cafe,49.28305,-123.13487,,,,,,,0%,25%,28%,38%,48%,67%,,96%,65%,46%,30%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,28%,42%,57%,63%,55%,,53%,96%,48%,40%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,36%,42%,55%,67%,86%,,36%,38%,69%,32%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,28%,53%,65%,67%,67%,,55%,34%,32%,40%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,11%,51%,63%,90%,73%,,82%,53%,26%,23%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,17%,25%,63%,63%,96%,,51%,71%,46%,30%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,13%,26%,40%,63%,63%,,75%,53%,55%,23%,0%,0%,0%,0%,0%,0%,0%,59%,48%,51%,90%,57%,78%,100%,,,,,,,,
33,Waves Coffee House - Howe,"900 Howe St #100, Vancouver, BC V6Z 2M4",Coffee shop,49.28056,-123.12244,,,,,,,0%,10%,1%,22%,32%,37%,,69%,24%,12%,34%,60%,51%,19%,0%,0%,0%,0%,,,,,,,0%,0%,13%,4%,18%,30%,,34%,97%,21%,17%,29%,63%,52%,0%,0%,0%,0%,,,,,,,0%,14%,8%,22%,10%,23%,,25%,20%,100%,27%,20%,17%,52%,0%,0%,0%,0%,,,,,,,0%,3%,21%,18%,27%,12%,,21%,15%,14%,76%,35%,18%,12%,0%,0%,0%,0%,,,,,,,0%,9%,6%,27%,13%,30%,,24%,20%,21%,27%,48%,38%,19%,0%,0%,0%,0%,,,,,,,0%,0%,18%,12%,28%,24%,,15%,26%,24%,35%,44%,26%,36%,0%,0%,0%,0%,,,,,,,0%,2%,10%,24%,28%,36%,,23%,11%,40%,44%,47%,38%,17%,0%,0%,0%,0%,43%,38%,26%,22%,22%,25%,35%,,,,,,,,
34,Delany's Coffee House,"1105 Denman St, Vancouver, BC V6G 2M7",Cafe,49.2883,-123.14068,,,,,,0%,14%,18%,57%,44%,54%,61%,,41%,11%,38%,30%,7%,0%,0%,0%,0%,0%,,,,,,,0%,14%,22%,27%,91%,52%,51%,,60%,34%,15%,25%,18%,0%,0%,0%,0%,0%,,,,,,,0%,10%,28%,34%,40%,100%,45%,,34%,60%,25%,15%,15%,0%,0%,0%,0%,0%,,,,,,,0%,18%,24%,55%,51%,38%,87%,,30%,28%,52%,15%,15%,0%,0%,0%,0%,0%,,,,,,,0%,14%,32%,40%,74%,61%,37%,,34%,20%,18%,45%,10%,0%,0%,0%,0%,0%,,,,,,,0%,14%,18%,40%,57%,95%,61%,,48%,35%,11%,21%,20%,0%,0%,0%,0%,0%,,,,,,,0%,8%,28%,32%,51%,61%,80%,,17%,38%,38%,10%,12%,0%,0%,0%,0%,0%,,68%,50%,35%,37%,57%,22%,51%,,,,,,,,
35,Saunter Coffee,"321 W Pender St, Vancouver, BC V6B 1T3",Coffee shop,49.28251,-123.11126,,,,,,,,0%,34%,30%,47%,78%,,,69%,43%,65%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,56%,78%,52%,30%,,73%,,60%,26%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,52%,100%,60%,,56%,73%,,30%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,43%,,65%,91%,,21%,34%,60%,,0%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,52%,60%,,65%,,69%,34%,34%,52%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,73%,65%,,,65%,69%,21%,26%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,8%,65%,91%,78%,,69%,47%,60%,0%,0%,0%,,0%,0%,0%,0%,86%,78%,17%,60%,73%,65%,,,,,,,,,
36,Taf's Cafe,"829 Granville St, Vancouver, BC V6Z 1K7",Cafe,49.28111,-123.12047,,,,,,,0%,0%,0%,0%,0%,0%,,2%,8%,17%,20%,5%,5%,32%,23%,73%,8%,11%,,,,,,,0%,0%,0%,0%,0%,0%,,5%,11%,2%,20%,11%,11%,2%,26%,17%,82%,2%,,,,,,,0%,0%,0%,0%,0%,32%,,0%,8%,11%,8%,32%,11%,23%,0%,44%,17%,100%,,,,,,,0%,0%,0%,0%,0%,11%,,5%,0%,23%,26%,8%,26%,29%,47%,5%,23%,5%,,,,,,,0%,0%,0%,0%,0%,35%,,17%,14%,0%,44%,26%,2%,14%,52%,44%,11%,23%,,,,,,,0%,0%,0%,0%,0%,2%,,14%,29%,8%,0%,44%,35%,11%,11%,61%,35%,26%,,,,,,,0%,0%,0%,0%,0%,29%,,23%,8%,44%,8%,2%,29%,17%,35%,20%,29%,20%,17%,0%,2%,14%,8%,47%,0%,,,,,,,,
38,Blenz Coffee,"Blenz at International Village, 603 Abbott St, Vancouver, BC V6B 0J4",Cafe,49.27961,-123.10788,,,,,,,32%,2%,35%,,17%,27%,,35%,10%,40%,,27%,67%,,57%,32%,0%,,,,,,,0%,,15%,5%,35%,,15%,,,47%,7%,62%,,42%,82%,,50%,0%,,,,,,,0%,55%,,10%,17%,32%,,,22%,,37%,12%,47%,,40%,100%,,0%,,,,,,,,0%,62%,,5%,15%,25%,,2%,17%,,35%,22%,40%,,50%,72%,,,,,,,,0%,,77%,62%,,12%,25%,,,0%,25%,,20%,27%,32%,,47%,0%,,,,,,,0%,35%,,55%,72%,,25%,,30%,,5%,20%,,25%,20%,42%,,0%,,,,,,,0%,0%,27%,,47%,50%,,,12%,27%,,17%,35%,,32%,27%,25%,,0%,,15%,7%,,35%,17%,45%,,,,,,,,
39,Elysian Coffee,"1100 Burrard St, Vancouver, BC V6Z 1Y7",Coffee shop,49.27985,-123.12765,,,,,,,0%,25%,19%,67%,58%,32%,,29%,19%,41%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,38%,32%,32%,38%,,93%,29%,9%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,70%,22%,35%,58%,16%,,29%,83%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,3%,100%,38%,51%,74%,,41%,16%,54%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,80%,16%,77%,45%,41%,,6%,29%,6%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,80%,22%,90%,25%,,48%,16%,38%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,22%,35%,70%,29%,67%,,41%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,22%,29%,3%,64%,35%,19%,,,,,,,,
40,Greenhorn Cafe,"994 Nicola St, Vancouver, BC V6G 2C8",Brunch restaurant,49.28662,-123.13403,,,,,,,0%,15%,6%,68%,40%,35%,,81%,32%,13%,28%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,17%,22%,15%,88%,46%,,34%,64%,25%,10%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,10%,38%,24%,23%,100%,,24%,25%,41%,16%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,6%,24%,60%,26%,29%,,42%,20%,16%,16%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,7%,16%,42%,80%,33%,,85%,40%,15%,8%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,20%,18%,27%,45%,85%,,23%,69%,28%,8%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,1%,43%,33%,34%,45%,,38%,20%,50%,21%,0%,0%,0%,0%,0%,0%,0%,41%,28%,50%,97%,27%,39%,87%,,,,,,,,
