index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 a.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times
41,A&W Canada,"Pacific Centre (Food Court, 700 W Georgia St, Vancouver, BC V7Y 1E4",Hamburger restaurant,49.28321,-123.12033,,,,,,,0%,0%,37%,0%,58%,44%,,37%,48%,6%,13%,27%,24%,0%,0%,0%,0%,0%,,,,,,,0%,0%,10%,68%,3%,51%,,62%,44%,34%,0%,3%,24%,0%,0%,0%,0%,0%,,,,,,,0%,0%,20%,24%,58%,6%,,24%,37%,27%,37%,3%,10%,31%,0%,0%,0%,0%,,,,,,,0%,0%,34%,10%,27%,86%,,68%,17%,37%,20%,51%,10%,0%,13%,0%,0%,0%,,,,,,,0%,0%,3%,65%,17%,20%,,20%,34%,37%,44%,27%,48%,0%,0%,0%,0%,0%,,,,,,,0%,0%,41%,10%,68%,20%,,41%,48%,17%,34%,79%,13%,62%,0%,0%,0%,0%,,,,,,,0%,0%,0%,65%,24%,68%,,51%,10%,27%,13%,48%,100%,13%,48%,0%,0%,0%,,62%,,37%,,68%,13%,,62%,,,24%,27%,,
42,A&W Canada,"550 Bute St, Vancouver, BC V6E 3M1",Hamburger restaurant,49.28807,-123.1236,,32%,21%,14%,28%,7%,53%,28%,50%,35%,46%,35%,,71%,60%,50%,57%,35%,32%,17%,35%,46%,10%,28%,,39%,35%,17%,0%,14%,10%,39%,25%,67%,50%,64%,,60%,50%,46%,35%,42%,39%,28%,10%,50%,32%,14%,,3%,14%,42%,10%,0%,10%,10%,21%,21%,92%,71%,,42%,46%,53%,21%,21%,21%,35%,42%,10%,42%,32%,,7%,0%,3%,3%,14%,10%,3%,25%,28%,25%,100%,,78%,35%,35%,35%,7%,3%,10%,35%,39%,10%,39%,,7%,3%,0%,10%,10%,21%,28%,7%,46%,35%,50%,,78%,60%,25%,32%,50%,3%,7%,10%,39%,35%,7%,,3%,10%,0%,35%,10%,21%,17%,46%,21%,78%,67%,,78%,64%,42%,17%,28%,35%,14%,17%,21%,50%,17%,,7%,0%,7%,7%,75%,10%,21%,25%,50%,28%,96%,,67%,50%,60%,35%,25%,35%,50%,35%,21%,32%,89%,75%,92%,10%,42%,7%,78%,89%,14%,96%,3%,14%,60%,57%,10%,
43,Shizenya,"965 Hornby St, Vancouver, BC V6Z 3G5",Japanese restaurant,49.28124,-123.12505,,,,,,,0%,0%,0%,0%,0%,6%,,35%,22%,40%,4%,75%,22%,15%,40%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,13%,,42%,57%,48%,20%,4%,73%,13%,11%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,24%,55%,51%,51%,17%,4%,100%,4%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,44%,22%,66%,53%,73%,24%,6%,82%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,24%,42%,35%,51%,33%,53%,22%,6%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,68%,17%,66%,40%,44%,44%,46%,11%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,8%,,20%,53%,8%,73%,33%,31%,31%,22%,0%,0%,0%,,20%,,15%,,31%,17%,,66%,,,22%,13%,,
45,Holy Guacamole,"805 Denman St, Vancouver, BC V6G 2L7",Mexican restaurant,49.2915,-123.13571,,,,,,,0%,0%,0%,45%,50%,36%,,86%,90%,40%,90%,77%,18%,45%,63%,13%,18%,0%,,,,,,,0%,0%,0%,9%,50%,45%,,59%,100%,72%,50%,86%,86%,4%,27%,36%,4%,0%,,,,,,,0%,0%,0%,18%,22%,54%,,40%,54%,77%,54%,72%,72%,86%,0%,9%,13%,0%,,,,,,,0%,0%,0%,22%,18%,40%,,36%,40%,27%,50%,22%,68%,63%,68%,4%,4%,0%,,,,,,,0%,0%,0%,9%,22%,36%,,68%,18%,40%,31%,45%,27%,27%,54%,27%,9%,0%,,,,,,,0%,0%,0%,13%,27%,27%,,95%,72%,27%,50%,63%,63%,27%,13%,36%,13%,0%,,,,,,,0%,0%,0%,31%,36%,36%,,72%,54%,90%,59%,36%,59%,68%,31%,13%,0%,0%,,72%,,54%,,36%,63%,,68%,,,45%,54%,,
46,Pokerrito,"558 Dunsmuir St, Vancouver, BC V6B 1Y1",Health food restaurant,49.28264,-123.11513,,,,,,,0%,0%,0%,0%,0%,60%,,56%,58%,29%,26%,14%,12%,26%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,51%,,41%,41%,31%,19%,24%,12%,9%,24%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,73%,36%,31%,26%,12%,26%,14%,7%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,48%,,48%,56%,29%,24%,36%,12%,21%,7%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,63%,,17%,41%,29%,21%,26%,36%,7%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,31%,,68%,21%,29%,17%,24%,31%,19%,12%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,34%,,85%,39%,29%,19%,7%,31%,34%,12%,0%,0%,0%,,51%,,100%,,63%,9%,,70%,,,53%,95%,,
47,Takis' Taverna Greek Restaurant,"1106 Davie St, Vancouver, BC V6E 1N1",Greek restaurant,49.28054,-123.13167,,,,,,,0%,0%,0%,0%,0%,38%,,77%,55%,11%,33%,100%,33%,11%,100%,22%,0%,0%,,,,,,,0%,0%,0%,0%,0%,11%,,33%,83%,33%,11%,61%,77%,22%,22%,88%,0%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,11%,38%,77%,16%,16%,50%,72%,11%,11%,0%,0%,,,,,,,0%,0%,0%,0%,0%,83%,,16%,0%,22%,94%,16%,44%,61%,55%,16%,0%,0%,,,,,,,0%,0%,0%,0%,0%,16%,,44%,38%,16%,16%,72%,22%,33%,27%,55%,0%,0%,,,,,,,0%,0%,0%,0%,0%,38%,,44%,55%,88%,33%,5%,55%,16%,55%,11%,0%,0%,,,,,,,0%,0%,0%,0%,0%,5%,,50%,27%,38%,94%,44%,5%,66%,11%,66%,0%,0%,,22%,,33%,,5%,33%,,61%,,,38%,27%,,
48,ARC RESTAURANT,"900 Canada Pl, Vancouver, BC V6C 3L5",Seafood restaurant,49.28729,-123.11436,,,,,,0%,,18%,1%,38%,30%,45%,,,62%,63%,39%,38%,75%,42%,,32%,12%,12%,,,,,,0%,0%,,26%,9%,45%,36%,,84%,,50%,36%,46%,43%,91%,37%,,17%,11%,,,,,,0%,6%,0%,,22%,27%,60%,,45%,73%,,46%,34%,41%,45%,85%,34%,,9%,,,,,,0%,20%,16%,4%,,30%,67%,,45%,40%,56%,,45%,31%,41%,42%,67%,34%,,,,,,,0%,10%,14%,18%,14%,,40%,,55%,33%,34%,50%,,52%,41%,30%,37%,40%,30%,,,,,,0%,1%,15%,15%,31%,42%,,,100%,43%,25%,41%,42%,,41%,33%,25%,17%,17%,,,,,,,10%,3%,25%,23%,34%,61%,,65%,80%,37%,27%,53%,47%,,34%,26%,16%,10%,,88%,,42%,,42%,66%,,89%,20%,6%,,60%,,
49,Hydra Estiatorio,"475 Howe St, Vancouver, BC V6B 2B3",Restaurant,49.28559,-123.11568,,,,,,,0%,9%,19%,16%,49%,47%,,0%,52%,52%,26%,94%,73%,50%,86%,43%,21%,0%,,,,,,,0%,8%,20%,33%,15%,59%,,35%,0%,57%,54%,33%,94%,65%,45%,67%,26%,0%,,,,,,,0%,13%,17%,28%,35%,0%,,55%,33%,43%,67%,64%,49%,83%,51%,31%,52%,0%,,,,,,,0%,17%,16%,20%,31%,47%,,64%,45%,33%,74%,72%,64%,45%,62%,31%,17%,0%,,,,,,,0%,18%,27%,20%,20%,44%,,0%,59%,47%,41%,91%,74%,57%,35%,41%,21%,0%,,,,,,,0%,11%,32%,33%,26%,0%,,58%,0%,63%,59%,49%,100%,70%,46%,17%,27%,0%,,,,,,,0%,9%,14%,40%,40%,28%,,58%,53%,16%,79%,73%,54%,95%,59%,38%,9%,0%,,36%,,55%,,68%,0%,,56%,,,0%,54%,,
50,Thida,"1193 Davie St, Vancouver, BC V6E 1N2",Thai restaurant,49.28178,-123.13298,,,,,,,0%,0%,0%,0%,0%,41%,,50%,29%,20%,33%,58%,37%,33%,37%,16%,0%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,70%,25%,12%,37%,37%,83%,37%,20%,33%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,54%,54%,25%,16%,79%,58%,100%,25%,20%,0%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,66%,45%,41%,29%,25%,91%,45%,58%,12%,0%,0%,,,,,,,0%,0%,0%,0%,0%,62%,,45%,87%,45%,29%,37%,33%,95%,20%,29%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,45%,45%,83%,45%,33%,45%,33%,79%,4%,0%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,58%,16%,25%,58%,33%,50%,50%,16%,45%,0%,0%,,62%,,58%,,54%,45%,,33%,,,29%,66%,,
51,"Fiorino, Italian Street Food Chinatown Vancouver","212 E Georgia St, Vancouver, BC V6A 1Z7",Restaurant,49.27849,-123.09919,,,,,,,0%,0%,0%,0%,0%,12%,,32%,19%,14%,35%,45%,48%,46%,100%,19%,0%,0%,,,,,,,0%,0%,0%,0%,0%,10%,,15%,38%,15%,14%,38%,60%,48%,35%,81%,0%,0%,,,,,,,0%,0%,0%,0%,0%,18%,,6%,19%,42%,25%,26%,51%,72%,32%,21%,52%,0%,,,,,,,0%,0%,0%,0%,0%,27%,,23%,3%,20%,54%,34%,43%,58%,76%,21%,0%,0%,,,,,,,0%,0%,0%,0%,0%,12%,,51%,28%,5%,25%,65%,39%,50%,45%,63%,0%,0%,,,,,,,0%,0%,0%,0%,0%,13%,,36%,47%,29%,18%,32%,78%,34%,46%,31%,45%,0%,,,,,,,0%,0%,0%,0%,0%,5%,,23%,23%,36%,32%,38%,49%,87%,29%,24%,0%,0%,,13%,,13%,,17%,37%,,41%,,,25%,21%,,
