index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 a.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times
32,Gurkha Himalayan Kitchen Restaurant,"1141 Davie St, Vancouver, BC V6E 1N2",Nepalese restaurant,49.2812222,-123.1500744,None,None,None,None,None,None,0%,0%,0%,0%,0%,6%,None,44%,18%,8%,53%,56%,46%,42%,100%,45%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,2%,None,32%,49%,18%,16%,50%,82%,60%,38%,80%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,24%,None,13%,25%,57%,28%,36%,52%,89%,65%,29%,57%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,6%,None,24%,18%,22%,50%,28%,46%,52%,86%,44%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,6%,None,54%,29%,20%,25%,60%,40%,53%,53%,72%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,21%,None,4%,58%,30%,25%,32%,77%,49%,48%,44%,49%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,21%,None,14%,2%,60%,38%,33%,29%,93%,56%,36%,0%,0%,,32%,,13%,,10%,40%,,10%,,,29%,14%,,
33,Eh! Restaurant,"1050 Alberni St #2nd, Vancouver, BC V6E 1A3",Canadian restaurant,49.2812222,-123.1500744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Memphis Blues BBQ House,"430 Robson St, Vancouver, BC V6B 0H3",Barbecue restaurant,49.2795863,-123.1353996,None,None,None,None,None,None,0%,0%,0%,0%,0%,30%,None,82%,38%,53%,67%,92%,46%,38%,65%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,36%,None,53%,86%,50%,65%,59%,100%,36%,25%,38%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,50%,59%,84%,55%,84%,59%,96%,36%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,34%,None,44%,44%,50%,78%,65%,94%,57%,73%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,13%,None,55%,40%,34%,50%,73%,61%,71%,50%,51%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,50%,75%,42%,32%,50%,76%,59%,42%,36%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,19%,None,40%,48%,73%,61%,38%,40%,73%,40%,0%,0%,0%,,42%,,48%,,50%,28%,,46%,,,71%,25%,,
35,Boulevard Kitchen & Oyster Bar,"845 Burrard St, Vancouver, BC V6Z 2K6",Restaurant,49.2795863,-123.1353996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Food Republic,"488 Robson St, Vancouver, BC V6B 2B7",Fast food restaurant,49.2795863,-123.1353996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Jade Dynasty Restaurant,"137 E Pender St, Vancouver, BC V6A 1T6",Chinese restaurant,49.280523,-123.1190063,None,None,None,None,None,None,None,0%,0%,18%,28%,29%,None,None,33%,19%,47%,37%,25%,22%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,3%,47%,47%,None,36%,None,28%,18%,32%,35%,31%,20%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,4%,8%,74%,None,38%,34%,None,22%,18%,26%,33%,31%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,11%,13%,None,79%,33%,30%,None,22%,18%,22%,26%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,7%,None,23%,None,100%,79%,25%,25%,None,25%,14%,18%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,7%,14%,None,None,24%,84%,63%,19%,22%,None,29%,9%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,18%,17%,22%,None,37%,22%,66%,48%,20%,22%,None,27%,0%,0%,0%,,29%,,35%,,70%,92%,,22%,,,,30%,,
38,Denny's Restaurant,"1098 Davie St, Vancouver, BC V6E 1M3",Restaurant,49.2802006,-123.1491783,None,8%,11%,32%,8%,10%,10%,21%,24%,30%,64%,39%,None,37%,46%,23%,19%,32%,24%,20%,28%,26%,18%,20%,None,78%,7%,9%,27%,8%,14%,13%,31%,29%,41%,73%,None,39%,30%,35%,22%,19%,30%,23%,17%,34%,28%,19%,None,14%,64%,7%,6%,16%,12%,16%,23%,46%,36%,45%,None,35%,31%,26%,28%,22%,18%,30%,17%,16%,46%,28%,None,16%,11%,47%,9%,7%,12%,15%,20%,35%,65%,37%,None,66%,27%,22%,26%,27%,21%,21%,36%,15%,16%,59%,None,18%,15%,10%,19%,9%,9%,17%,20%,28%,44%,77%,None,33%,56%,21%,18%,27%,25%,19%,20%,58%,14%,17%,None,51%,17%,13%,19%,17%,11%,13%,28%,27%,35%,48%,None,30%,28%,45%,19%,19%,28%,25%,16%,22%,83%,13%,None,13%,42%,16%,8%,12%,18%,18%,19%,45%,33%,40%,None,62%,26%,23%,37%,22%,22%,27%,23%,16%,21%,100%,88%,41%,15%,38%,17%,72%,41%,55%,35%,14%,11%,45%,73%,22%,
39,TacoTime International Village,"88 W Pender St Unit 2021, Vancouver, BC V6B 6N9",Restaurant,49.280555,-123.1241355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chef Ron Restaurant & Bar,"1037 Denman St, Vancouver, BC V6G 2M4",Restaurant,49.2890749,-123.1575235,None,None,None,None,None,None,0%,0%,0%,60%,5%,2%,None,43%,7%,17%,32%,26%,25%,14%,40%,7%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,92%,10%,None,14%,44%,7%,10%,25%,26%,27%,6%,44%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,100%,None,15%,17%,36%,13%,6%,23%,28%,23%,2%,40%,0%,None,None,None,None,None,None,0%,0%,0%,15%,0%,5%,None,19%,13%,18%,30%,19%,2%,19%,38%,22%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,23%,3%,None,69%,15%,9%,13%,27%,17%,3%,19%,38%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,31%,None,15%,53%,21%,11%,14%,30%,14%,9%,10%,32%,0%,None,None,None,None,None,None,0%,0%,0%,1%,0%,15%,None,6%,18%,43%,22%,15%,14%,31%,13%,5%,9%,0%,,18%,,7%,,18%,88%,,9%,,,39%,9%,,
41,A&W Canada,"Pacific Centre (Food Court, 700 W Georgia St, Vancouver, BC V7Y 1E4",Hamburger restaurant,49.283083,-123.1356984,None,None,None,None,None,None,0%,0%,37%,0%,58%,44%,None,37%,48%,6%,13%,27%,24%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,10%,68%,3%,51%,None,62%,44%,34%,0%,3%,24%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,20%,24%,58%,6%,None,24%,37%,27%,37%,3%,10%,31%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,34%,10%,27%,86%,None,68%,17%,37%,20%,51%,10%,0%,13%,0%,0%,0%,None,None,None,None,None,None,0%,0%,3%,65%,17%,20%,None,20%,34%,37%,44%,27%,48%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,41%,10%,68%,20%,None,41%,48%,17%,34%,79%,13%,62%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,65%,24%,68%,None,51%,10%,27%,13%,48%,100%,13%,48%,0%,0%,0%,,62%,,37%,,68%,13%,,62%,,,24%,27%,,
42,A&W Canada,"550 Bute St, Vancouver, BC V6E 3M1",Hamburger restaurant,49.283083,-123.1356984,None,32%,21%,14%,28%,7%,53%,28%,50%,35%,46%,35%,None,71%,60%,50%,57%,35%,32%,17%,35%,46%,10%,28%,None,39%,35%,17%,0%,14%,10%,39%,25%,67%,50%,64%,None,60%,50%,46%,35%,42%,39%,28%,10%,50%,32%,14%,None,3%,14%,42%,10%,0%,10%,10%,21%,21%,92%,71%,None,42%,46%,53%,21%,21%,21%,35%,42%,10%,42%,32%,None,7%,0%,3%,3%,14%,10%,3%,25%,28%,25%,100%,None,78%,35%,35%,35%,7%,3%,10%,35%,39%,10%,39%,None,7%,3%,0%,10%,10%,21%,28%,7%,46%,35%,50%,None,78%,60%,25%,32%,50%,3%,7%,10%,39%,35%,7%,None,3%,10%,0%,35%,10%,21%,17%,46%,21%,78%,67%,None,78%,64%,42%,17%,28%,35%,14%,17%,21%,50%,17%,None,7%,0%,7%,7%,75%,10%,21%,25%,50%,28%,96%,None,67%,50%,60%,35%,25%,35%,50%,35%,21%,32%,89%,75%,92%,10%,42%,7%,78%,89%,14%,96%,3%,14%,60%,57%,10%,
43,Shizenya,"965 Hornby St, Vancouver, BC V6Z 3G5",Japanese restaurant,49.283083,-123.1356984,None,None,None,None,None,None,0%,0%,0%,0%,0%,6%,None,35%,22%,40%,4%,75%,22%,15%,40%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,13%,None,42%,57%,48%,20%,4%,73%,13%,11%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,24%,55%,51%,51%,17%,4%,100%,4%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,44%,22%,66%,53%,73%,24%,6%,82%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,24%,42%,35%,51%,33%,53%,22%,6%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,68%,17%,66%,40%,44%,44%,46%,11%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,8%,None,20%,53%,8%,73%,33%,31%,31%,22%,0%,0%,0%,,20%,,15%,,31%,17%,,66%,,,22%,13%,,
44,Thai Express Restaurant Vancouver,"200 Burrard St FC-04, Vancouver, BC V6C 3L6",Thai restaurant,49.283083,-123.1356984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Holy Guacamole,"805 Denman St, Vancouver, BC V6G 2L7",Mexican restaurant,49.2914957,-123.1537376,None,None,None,None,None,None,0%,0%,0%,45%,50%,36%,None,86%,90%,40%,90%,77%,18%,45%,63%,13%,18%,0%,None,None,None,None,None,None,0%,0%,0%,9%,50%,45%,None,59%,100%,72%,50%,86%,86%,4%,27%,36%,4%,0%,None,None,None,None,None,None,0%,0%,0%,18%,22%,54%,None,40%,54%,77%,54%,72%,72%,86%,0%,9%,13%,0%,None,None,None,None,None,None,0%,0%,0%,22%,18%,40%,None,36%,40%,27%,50%,22%,68%,63%,68%,4%,4%,0%,None,None,None,None,None,None,0%,0%,0%,9%,22%,36%,None,68%,18%,40%,31%,45%,27%,27%,54%,27%,9%,0%,None,None,None,None,None,None,0%,0%,0%,13%,27%,27%,None,95%,72%,27%,50%,63%,63%,27%,13%,36%,13%,0%,None,None,None,None,None,None,0%,0%,0%,31%,36%,36%,None,72%,54%,90%,59%,36%,59%,68%,31%,13%,0%,0%,,72%,,54%,,36%,63%,,68%,,,45%,54%,,
46,Pokerrito,"558 Dunsmuir St, Vancouver, BC V6B 1Y1",Health food restaurant,49.2826333,-123.1331803,None,None,None,None,None,None,0%,0%,0%,0%,0%,60%,None,56%,58%,29%,26%,14%,12%,26%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,51%,None,41%,41%,31%,19%,24%,12%,9%,24%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,73%,36%,31%,26%,12%,26%,14%,7%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,48%,None,48%,56%,29%,24%,36%,12%,21%,7%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,63%,None,17%,41%,29%,21%,26%,36%,7%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,31%,None,68%,21%,29%,17%,24%,31%,19%,12%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,34%,None,85%,39%,29%,19%,7%,31%,34%,12%,0%,0%,0%,,51%,,100%,,63%,9%,,70%,,,53%,95%,,
47,Takis' Taverna Greek Restaurant,"1106 Davie St, Vancouver, BC V6E 1N1",Greek restaurant,49.2805427,-123.1496679,None,None,None,None,None,None,0%,0%,0%,0%,0%,38%,None,77%,55%,11%,33%,100%,33%,11%,100%,22%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,11%,None,33%,83%,33%,11%,61%,77%,22%,22%,88%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,11%,38%,77%,16%,16%,50%,72%,11%,11%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,83%,None,16%,0%,22%,94%,16%,44%,61%,55%,16%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,16%,None,44%,38%,16%,16%,72%,22%,33%,27%,55%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,38%,None,44%,55%,88%,33%,5%,55%,16%,55%,11%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,5%,None,50%,27%,38%,94%,44%,5%,66%,11%,66%,0%,0%,,22%,,33%,,5%,33%,,61%,,,38%,27%,,
48,ARC RESTAURANT,"900 Canada Pl, Vancouver, BC V6C 3L5",Seafood restaurant,49.2871637,-123.1318605,None,None,None,None,None,0%,None,18%,1%,38%,30%,45%,None,None,62%,63%,39%,38%,75%,42%,None,32%,12%,12%,None,None,None,None,None,0%,0%,None,26%,9%,45%,36%,None,84%,None,50%,36%,46%,43%,91%,37%,None,17%,11%,None,None,None,None,None,0%,6%,0%,None,22%,27%,60%,None,45%,73%,None,46%,34%,41%,45%,85%,34%,None,9%,None,None,None,None,None,0%,20%,16%,4%,None,30%,67%,None,45%,40%,56%,None,45%,31%,41%,42%,67%,34%,None,None,None,None,None,None,0%,10%,14%,18%,14%,None,40%,None,55%,33%,34%,50%,None,52%,41%,30%,37%,40%,30%,None,None,None,None,None,0%,1%,15%,15%,31%,42%,None,None,100%,43%,25%,41%,42%,None,41%,33%,25%,17%,17%,None,None,None,None,None,None,10%,3%,25%,23%,34%,61%,None,65%,80%,37%,27%,53%,47%,None,34%,26%,16%,10%,,88%,,42%,,42%,66%,,89%,20%,6%,,60%,,
49,Hydra Estiatorio,"475 Howe St, Vancouver, BC V6B 2B3",Restaurant,49.2871637,-123.1318605,None,None,None,None,None,None,0%,9%,19%,16%,49%,47%,None,0%,52%,52%,26%,94%,73%,50%,86%,43%,21%,0%,None,None,None,None,None,None,0%,8%,20%,33%,15%,59%,None,35%,0%,57%,54%,33%,94%,65%,45%,67%,26%,0%,None,None,None,None,None,None,0%,13%,17%,28%,35%,0%,None,55%,33%,43%,67%,64%,49%,83%,51%,31%,52%,0%,None,None,None,None,None,None,0%,17%,16%,20%,31%,47%,None,64%,45%,33%,74%,72%,64%,45%,62%,31%,17%,0%,None,None,None,None,None,None,0%,18%,27%,20%,20%,44%,None,0%,59%,47%,41%,91%,74%,57%,35%,41%,21%,0%,None,None,None,None,None,None,0%,11%,32%,33%,26%,0%,None,58%,0%,63%,59%,49%,100%,70%,46%,17%,27%,0%,None,None,None,None,None,None,0%,9%,14%,40%,40%,28%,None,58%,53%,16%,79%,73%,54%,95%,59%,38%,9%,0%,,36%,,55%,,68%,0%,,56%,,,0%,54%,,
50,Thida,"1193 Davie St, Vancouver, BC V6E 1N2",Thai restaurant,49.2817474,-123.1511364,None,None,None,None,None,None,0%,0%,0%,0%,0%,41%,None,50%,29%,20%,33%,58%,37%,33%,37%,16%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,70%,25%,12%,37%,37%,83%,37%,20%,33%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,54%,54%,25%,16%,79%,58%,100%,25%,20%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,66%,45%,41%,29%,25%,91%,45%,58%,12%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,62%,None,45%,87%,45%,29%,37%,33%,95%,20%,29%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,45%,45%,83%,45%,33%,45%,33%,79%,4%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,58%,16%,25%,58%,33%,50%,50%,16%,45%,0%,0%,,62%,,58%,,54%,45%,,33%,,,29%,66%,,
51,"Fiorino, Italian Street Food Chinatown Vancouver","212 E Georgia St, Vancouver, BC V6A 1Z7",Restaurant,49.2784583,-123.1172158,None,None,None,None,None,None,0%,0%,0%,0%,0%,12%,None,32%,19%,14%,35%,45%,48%,46%,100%,19%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,10%,None,15%,38%,15%,14%,38%,60%,48%,35%,81%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,18%,None,6%,19%,42%,25%,26%,51%,72%,32%,21%,52%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,23%,3%,20%,54%,34%,43%,58%,76%,21%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,12%,None,51%,28%,5%,25%,65%,39%,50%,45%,63%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,13%,None,36%,47%,29%,18%,32%,78%,34%,46%,31%,45%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,5%,None,23%,23%,36%,32%,38%,49%,87%,29%,24%,0%,0%,,13%,,13%,,17%,37%,,41%,,,25%,21%,,
