index,name,address,category,latitude,longitude,popular_times,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Monday 12 a.m.
10,Alien E-Bike Rentals (Plaza of Nations),"On The Bike Path, 750 Pacific Blvd, Vancouver, BC V6Z 3A1",Bicycle rental service,49.2742321,-123.1287098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Yes Cycle Bike & Ski Rentals,"1351 Burrard St, Vancouver, BC V6Z 1Z7",Bicycle rental service,49.2777107,-123.1497759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Simon's Bike Shop,"Library Square, 345 Robson St #203, Vancouver, BC V6B 6B3",Bicycle Shop,49.2792891,-123.1339875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Freedom Bike Rentals Stanley Park,"730 Denman St, Vancouver, BC V6G 2L5",Bicycle rental service,49.2918592,-123.1525341,,None,None,None,None,None,None,0%,0%,0%,8%,58%,75%,None,58%,0%,0%,16%,50%,16%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,8%,16%,33%,None,50%,83%,8%,0%,0%,25%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,25%,33%,None,16%,75%,100%,0%,8%,0%,8%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,50%,50%,66%,None,8%,8%,75%,58%,0%,8%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,91%,50%,None,25%,25%,16%,33%,58%,8%,16%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,50%,50%,91%,None,58%,16%,16%,41%,8%,41%,33%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,33%,50%,75%,None,16%,16%,25%,25%,41%,0%,66%,0%,0%,0%,0%,41%,33%,8%,25%,75%,25%,75%,
14,Jo-E Bike Rentals Stanley Park,"768 Denman St, Vancouver, BC V6G 2L5",Bicycle rental service,49.2918592,-123.1525341,,None,None,None,None,None,None,0%,0%,0%,17%,11%,47%,None,88%,94%,52%,52%,70%,11%,23%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,17%,29%,5%,None,82%,52%,94%,58%,29%,58%,29%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,11%,64%,None,52%,70%,70%,64%,47%,23%,23%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,47%,17%,47%,None,17%,70%,64%,35%,29%,23%,23%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,41%,70%,23%,None,100%,35%,58%,47%,17%,11%,11%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,52%,52%,100%,None,64%,82%,52%,29%,64%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,11%,47%,47%,None,88%,47%,76%,64%,11%,29%,0%,0%,0%,0%,0%,64%,47%,11%,82%,47%,52%,94%,
15,Mobi by Shaw Go,"Keefer & Abbott, Vancouver, BC",Bike sharing station,49.279821,-123.1260445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Club16 Bike Rentals,"Vancouver Convention Centre, 1055 Canada Pl, Vancouver, BC V6C 0C3",Bike sharing station,49.289124,-123.1345223,,None,None,None,None,None,None,None,0%,17%,21%,26%,34%,None,None,34%,4%,26%,47%,4%,47%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,17%,30%,34%,34%,None,47%,None,17%,0%,56%,26%,8%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,34%,52%,60%,None,13%,65%,None,8%,0%,30%,26%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,60%,None,73%,100%,None,13%,26%,34%,None,4%,4%,30%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,26%,86%,None,34%,None,26%,21%,34%,30%,None,4%,8%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,52%,26%,82%,None,None,47%,4%,26%,26%,43%,None,17%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,17%,26%,52%,60%,None,17%,13%,13%,39%,8%,39%,None,0%,0%,0%,0%,65%,26%,17%,34%,60%,26%,,
17,Zygg E-Bikes - Vancouver,"397 Alexander St, Vancouver, BC V6A 1C4",Bicycle rental service,49.2841233,-123.1136749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,JV Bike,"929 Expo Blvd, Vancouver, BC V6Z 3G8",Bicycle Shop,49.2754514,-123.1335192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Yes Cycle Bike Rental,"687 Denman St, Vancouver, BC V6G 2L3",Bicycle rental service,49.2924234,-123.1523691,,None,None,None,None,None,None,0%,0%,0%,66%,12%,16%,None,37%,41%,58%,29%,37%,62%,62%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,95%,29%,None,37%,25%,62%,66%,25%,29%,50%,37%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,41%,4%,87%,None,20%,12%,16%,29%,95%,33%,20%,16%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,70%,54%,12%,None,83%,25%,16%,4%,12%,95%,50%,8%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,45%,62%,50%,None,66%,70%,33%,37%,0%,0%,95%,58%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,54%,95%,37%,None,33%,45%,58%,41%,66%,0%,4%,50%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,8%,25%,100%,None,50%,50%,45%,66%,79%,66%,4%,0%,0%,0%,0%,58%,8%,45%,70%,16%,41%,33%,
20,Mobi by Shaw Go,"Canada Place, Vancouver, BC V6C 3E1",Bike sharing station,49.287214,-123.1308944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
