index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
36,This World's Ours Centre,"191 E 10th Ave, Vancouver, BC V5T 1Z2",Community center,49.2597012,-123.1251969,None,None,None,None,None,None,0%,0%,0%,0%,89%,55%,None,82%,48%,34%,37%,68%,37%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,41%,82%,None,17%,58%,58%,51%,0%,58%,37%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,3%,17%,37%,None,13%,27%,31%,55%,27%,0%,72%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,13%,31%,None,89%,10%,37%,31%,65%,17%,0%,65%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,44%,44%,24%,None,62%,86%,6%,79%,0%,55%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,72%,34%,100%,None,44%,55%,62%,17%,72%,0%,75%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,75%,79%,24%,None,37%,41%,72%,65%,20%,79%,0%,0%,0%,0%,0%,24%,37%,93%,55%,72%,31%,93%,,,,,,,,
37,Lions Gate Community Recreation Centre,"1733 Lions Gate Ln, North Vancouver, BC V7P 0C7",Recreation center,49.3265547,-123.1394175,None,None,None,None,None,None,0%,7%,8%,36%,26%,28%,None,100%,16%,30%,52%,45%,36%,50%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,17%,7%,54%,33%,None,17%,93%,23%,32%,0%,38%,41%,35%,0%,0%,0%,None,None,None,None,None,None,0%,4%,28%,17%,13%,56%,None,44%,15%,75%,36%,34%,0%,32%,33%,0%,0%,0%,None,None,None,None,None,None,0%,21%,6%,44%,17%,26%,None,30%,43%,14%,64%,60%,50%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,5%,14%,13%,56%,15%,None,43%,26%,45%,26%,0%,64%,45%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,11%,23%,14%,76%,None,40%,54%,34%,40%,32%,0%,61%,31%,0%,0%,0%,None,None,None,None,None,None,0%,5%,15%,26%,21%,22%,None,16%,34%,53%,40%,35%,43%,0%,42%,0%,0%,0%,21%,32%,30%,53%,37%,18%,93%,,,,,,,,
38,West Point Grey Community Centre,"4397 W 2nd Ave, Vancouver, BC V6R 1K4",Community center,49.271588,-123.2220173,None,None,None,None,None,None,0%,0%,23%,47%,39%,40%,None,75%,34%,31%,57%,37%,56%,40%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,24%,27%,65%,44%,None,47%,81%,30%,39%,0%,36%,56%,36%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,31%,37%,84%,None,34%,40%,73%,33%,57%,0%,26%,36%,0%,0%,0%,None,None,None,None,None,None,0%,0%,34%,46%,31%,39%,None,63%,34%,37%,56%,36%,62%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,31%,62%,71%,30%,None,100%,65%,31%,43%,0%,50%,47%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,11%,53%,79%,78%,None,30%,100%,53%,33%,49%,0%,46%,33%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,24%,52%,75%,None,30%,31%,85%,40%,43%,44%,0%,37%,0%,0%,0%,59%,39%,55%,86%,42%,28%,75%,,,,,,,,
39,Firehall Arts Centre,"280 E Cordova St, Vancouver, BC V6A 1L3",Performing arts theater,49.2820669,-123.1159728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Hastings Community Centre,"3096 E Hastings St, Vancouver, BC V5K 2A3",Community center,49.2809348,-123.0575005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Community Based Research Centre (CBRC),"1007-808 Nelson St, Vancouver, BC V6Z 2H2",Research institute,49.2799431,-123.1426825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Downtown Eastside Neighbourhood House,"573 E Hastings St, Vancouver, BC V6A 1P9",Community center,49.2813494,-123.1097986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Hillcrest Centre,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Community center,49.2437477,-123.1258888,None,None,None,None,None,None,0%,0%,0%,56%,56%,51%,None,94%,65%,78%,80%,83%,93%,76%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,40%,78%,64%,None,73%,96%,74%,81%,0%,77%,89%,58%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,42%,55%,91%,None,59%,69%,96%,80%,84%,0%,62%,69%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,63%,56%,65%,None,66%,62%,68%,82%,86%,83%,0%,47%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,37%,87%,64%,None,95%,69%,63%,75%,0%,83%,78%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,31%,54%,96%,None,78%,100%,75%,72%,84%,0%,74%,64%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,44%,41%,70%,None,63%,79%,96%,84%,86%,85%,0%,55%,0%,0%,0%,76%,56%,64%,92%,75%,63%,93%,,,,,,,,
44,Community Centre | West Vancouver,"2121 Marine Dr, West Vancouver, BC V7V 4Y2",Community center,49.3310576,-123.1868762,None,None,None,None,None,0%,21%,None,54%,73%,71%,None,None,85%,None,89%,75%,80%,None,29%,43%,None,None,0%,None,None,None,None,0%,None,12%,33%,None,72%,71%,72%,None,89%,78%,None,87%,82%,69%,None,18%,0%,None,None,None,None,None,None,0%,8%,None,25%,44%,None,80%,68%,None,None,87%,76%,None,75%,78%,53%,None,0%,None,None,None,None,None,None,0%,7%,17%,None,40%,57%,None,85%,None,62%,None,78%,77%,None,64%,70%,42%,None,0%,None,None,None,None,None,None,10%,21%,30%,None,60%,69%,None,None,64%,68%,None,64%,78%,None,50%,53%,0%,None,None,None,None,None,None,0%,None,22%,40%,46%,None,77%,76%,None,86%,70%,80%,None,53%,75%,None,36%,0%,None,None,None,None,None,None,0%,13%,None,39%,58%,65%,None,87%,None,None,87%,73%,87%,None,39%,60%,None,0%,0%,None,88%,,64%,63%,82%,,79%,,,,,,,,
45,Community Centre | West Vancouver,"2121 Marine Dr, West Vancouver, BC V7V 4Y2",Community center,49.3310576,-123.1868762,None,None,None,None,None,0%,21%,None,54%,73%,71%,None,None,85%,None,89%,75%,80%,None,29%,43%,None,None,0%,None,None,None,None,0%,None,12%,33%,None,72%,71%,72%,None,89%,78%,None,87%,82%,69%,None,18%,0%,None,None,None,None,None,None,0%,8%,None,25%,44%,None,80%,68%,None,None,87%,76%,None,75%,78%,53%,None,0%,None,None,None,None,None,None,0%,7%,17%,None,40%,57%,None,85%,None,62%,None,78%,77%,None,64%,70%,42%,None,0%,None,None,None,None,None,None,10%,21%,30%,None,60%,69%,None,None,64%,68%,None,64%,78%,None,50%,53%,0%,None,None,None,None,None,None,0%,None,22%,40%,46%,None,77%,76%,None,86%,70%,80%,None,53%,75%,None,36%,0%,None,None,None,None,None,None,0%,13%,None,39%,58%,65%,None,87%,None,None,87%,73%,87%,None,39%,60%,None,0%,0%,None,88%,,64%,63%,82%,,79%,,,,,,,,
