index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
32,Matchstick Davie Street,"1305 Davie St, Vancouver, BC V6E 1N5",Cafe,49.2830548,-123.1528975,None,None,None,None,None,None,0%,25%,28%,38%,48%,67%,None,96%,65%,46%,30%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,28%,42%,57%,63%,55%,None,53%,96%,48%,40%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,36%,42%,55%,67%,86%,None,36%,38%,69%,32%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,28%,53%,65%,67%,67%,None,55%,34%,32%,40%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,11%,51%,63%,90%,73%,None,82%,53%,26%,23%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,17%,25%,63%,63%,96%,None,51%,71%,46%,30%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,13%,26%,40%,63%,63%,None,75%,53%,55%,23%,0%,0%,0%,0%,0%,0%,0%,59%,48%,51%,90%,57%,78%,100%,,,,,,,,
33,Waves Coffee House - Howe,"900 Howe St #100, Vancouver, BC V6Z 2M4",Coffee shop,49.280592,-123.1405392,None,None,None,None,None,None,0%,10%,1%,22%,32%,37%,None,69%,24%,12%,34%,60%,51%,19%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,13%,4%,18%,30%,None,34%,97%,21%,17%,29%,63%,52%,0%,0%,0%,0%,None,None,None,None,None,None,0%,14%,8%,22%,10%,23%,None,25%,20%,100%,27%,20%,17%,52%,0%,0%,0%,0%,None,None,None,None,None,None,0%,3%,21%,18%,27%,12%,None,21%,15%,14%,76%,35%,18%,12%,0%,0%,0%,0%,None,None,None,None,None,None,0%,9%,6%,27%,13%,30%,None,24%,20%,21%,27%,48%,38%,19%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,18%,12%,28%,24%,None,15%,26%,24%,35%,44%,26%,36%,0%,0%,0%,0%,None,None,None,None,None,None,0%,2%,10%,24%,28%,36%,None,23%,11%,40%,44%,47%,38%,17%,0%,0%,0%,0%,43%,38%,26%,22%,22%,25%,35%,,,,,,,,
34,Delany's Coffee House,"1105 Denman St, Vancouver, BC V6G 2M7",Cafe,49.288234,-123.1586153,None,None,None,None,None,0%,14%,18%,57%,44%,54%,61%,None,41%,11%,38%,30%,7%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,14%,22%,27%,91%,52%,51%,None,60%,34%,15%,25%,18%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,10%,28%,34%,40%,100%,45%,None,34%,60%,25%,15%,15%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,18%,24%,55%,51%,38%,87%,None,30%,28%,52%,15%,15%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,14%,32%,40%,74%,61%,37%,None,34%,20%,18%,45%,10%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,14%,18%,40%,57%,95%,61%,None,48%,35%,11%,21%,20%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,8%,28%,32%,51%,61%,80%,None,17%,38%,38%,10%,12%,0%,0%,0%,0%,0%,None,68%,50%,35%,37%,57%,22%,51%,,,,,,,,
35,Saunter Coffee,"321 W Pender St, Vancouver, BC V6B 1T3",Coffee shop,49.2825091,-123.1292809,None,None,None,None,None,None,None,0%,34%,30%,47%,78%,None,None,69%,43%,65%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,56%,78%,52%,30%,None,73%,None,60%,26%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,52%,100%,60%,None,56%,73%,None,30%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,43%,None,65%,91%,None,21%,34%,60%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,52%,60%,None,65%,None,69%,34%,34%,52%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,73%,65%,None,None,65%,69%,21%,26%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,8%,65%,91%,78%,None,69%,47%,60%,0%,0%,0%,None,0%,0%,0%,0%,86%,78%,17%,60%,73%,65%,,,,,,,,,
36,Taf's Cafe,"829 Granville St, Vancouver, BC V6Z 1K7",Cafe,49.2811227,-123.1384936,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,2%,8%,17%,20%,5%,5%,32%,23%,73%,8%,11%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,5%,11%,2%,20%,11%,11%,2%,26%,17%,82%,2%,None,None,None,None,None,None,0%,0%,0%,0%,0%,32%,None,0%,8%,11%,8%,32%,11%,23%,0%,44%,17%,100%,None,None,None,None,None,None,0%,0%,0%,0%,0%,11%,None,5%,0%,23%,26%,8%,26%,29%,47%,5%,23%,5%,None,None,None,None,None,None,0%,0%,0%,0%,0%,35%,None,17%,14%,0%,44%,26%,2%,14%,52%,44%,11%,23%,None,None,None,None,None,None,0%,0%,0%,0%,0%,2%,None,14%,29%,8%,0%,44%,35%,11%,11%,61%,35%,26%,None,None,None,None,None,None,0%,0%,0%,0%,0%,29%,None,23%,8%,44%,8%,2%,29%,17%,35%,20%,29%,20%,17%,0%,2%,14%,8%,47%,0%,,,,,,,,
37,Koffie,"1050 W Pender St, Vancouver, BC V6E 3S7",Coffee shop,49.2811227,-123.1384936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Blenz Coffee,"Blenz at International Village, 603 Abbott St, Vancouver, BC V6B 0J4",Cafe,49.2796131,-123.1259072,None,None,None,None,None,None,32%,2%,35%,None,17%,27%,None,35%,10%,40%,None,27%,67%,None,57%,32%,0%,None,None,None,None,None,None,0%,None,15%,5%,35%,None,15%,None,None,47%,7%,62%,None,42%,82%,None,50%,0%,None,None,None,None,None,None,0%,55%,None,10%,17%,32%,None,None,22%,None,37%,12%,47%,None,40%,100%,None,0%,None,None,None,None,None,None,None,0%,62%,None,5%,15%,25%,None,2%,17%,None,35%,22%,40%,None,50%,72%,None,None,None,None,None,None,None,0%,None,77%,62%,None,12%,25%,None,None,0%,25%,None,20%,27%,32%,None,47%,0%,None,None,None,None,None,None,0%,35%,None,55%,72%,None,25%,None,30%,None,5%,20%,None,25%,20%,42%,None,0%,None,None,None,None,None,None,0%,0%,27%,None,47%,50%,None,None,12%,27%,None,17%,35%,None,32%,27%,25%,None,0%,,15%,7%,,35%,17%,45%,,,,,,,,
39,Elysian Coffee,"1100 Burrard St, Vancouver, BC V6Z 1Y7",Coffee shop,49.2798561,-123.1456082,None,None,None,None,None,None,0%,25%,19%,67%,58%,32%,None,29%,19%,41%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,38%,32%,32%,38%,None,93%,29%,9%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,70%,22%,35%,58%,16%,None,29%,83%,0%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,3%,100%,38%,51%,74%,None,41%,16%,54%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,80%,16%,77%,45%,41%,None,6%,29%,6%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,80%,22%,90%,25%,None,48%,16%,38%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,22%,35%,70%,29%,67%,None,41%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,67%,22%,29%,3%,64%,35%,19%,,,,,,,,
40,Greenhorn Cafe,"994 Nicola St, Vancouver, BC V6G 2C8",Brunch restaurant,49.2798561,-123.1456082,None,None,None,None,None,None,0%,15%,6%,68%,40%,35%,None,81%,32%,13%,28%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,17%,22%,15%,88%,46%,None,34%,64%,25%,10%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,10%,38%,24%,23%,100%,None,24%,25%,41%,16%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,6%,24%,60%,26%,29%,None,42%,20%,16%,16%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,7%,16%,42%,80%,33%,None,85%,40%,15%,8%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,20%,18%,27%,45%,85%,None,23%,69%,28%,8%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,1%,43%,33%,34%,45%,None,38%,20%,50%,21%,0%,0%,0%,0%,0%,0%,0%,41%,28%,50%,97%,27%,39%,87%,,,,,,,,
41,Charisma Social Club House,"197 Keefer Pl, Vancouver, BC V6B 6C1",Dessert restaurant,49.2799406,-123.1267389,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,2%,21%,0%,5%,15%,52%,28%,2%,39%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,31%,None,21%,5%,34%,0%,18%,7%,26%,15%,5%,65%,2%,None,None,None,None,None,None,0%,0%,0%,0%,0%,13%,None,0%,42%,10%,23%,0%,39%,7%,13%,15%,13%,100%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,13%,0%,39%,23%,23%,0%,84%,7%,0%,15%,10%,None,None,None,None,None,None,0%,0%,0%,0%,0%,2%,None,21%,7%,0%,36%,15%,13%,0%,60%,7%,2%,15%,None,None,None,None,None,None,0%,0%,0%,0%,0%,18%,None,0%,13%,15%,0%,34%,7%,18%,2%,28%,7%,7%,None,None,None,None,None,None,0%,0%,0%,0%,0%,7%,None,21%,0%,10%,15%,26%,23%,0%,15%,0%,7%,21%,13%,0%,28%,26%,0%,7%,10%,,23%,2%,0%,76%,13%,26%,10%
42,Café Portrait,"1120 Denman St, Vancouver, BC V6G 1T2",Brunch restaurant,49.2880217,-123.158464,None,None,None,None,None,None,0%,0%,7%,43%,25%,30%,None,98%,11%,15%,46%,33%,1%,4%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,6%,18%,71%,37%,None,37%,84%,5%,7%,33%,30%,2%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,15%,14%,23%,87%,None,22%,30%,72%,8%,5%,34%,28%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,7%,41%,23%,32%,None,44%,18%,18%,62%,8%,3%,24%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,4%,22%,70%,24%,None,94%,43%,13%,12%,65%,4%,1%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,4%,13%,41%,95%,None,36%,83%,40%,6%,5%,64%,3%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,20%,14%,23%,54%,None,22%,25%,66%,33%,2%,6%,60%,0%,0%,0%,0%,52%,24%,43%,97%,36%,32%,100%,,,,,,,,
43,Take Five Cafe,"CF Pacific Centre, 609 Granville St, Vancouver, BC V7Y 1H4",Cafe,49.2834188,-123.1351406,None,None,None,None,None,None,0%,42%,22%,11%,17%,20%,None,40%,14%,22%,34%,25%,60%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,42%,48%,17%,28%,None,11%,22%,20%,48%,25%,11%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,42%,0%,51%,40%,8%,None,28%,28%,25%,48%,65%,17%,8%,0%,0%,0%,0%,None,None,None,None,None,None,0%,51%,57%,40%,40%,45%,None,37%,48%,25%,54%,45%,51%,0%,17%,0%,0%,0%,None,None,None,None,None,None,0%,0%,54%,51%,51%,42%,None,25%,42%,68%,37%,88%,48%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,2%,37%,22%,48%,None,31%,31%,45%,62%,25%,100%,37%,0%,0%,0%,0%,None,None,None,None,None,None,0%,11%,0%,5%,31%,8%,None,17%,20%,25%,45%,60%,20%,62%,34%,0%,0%,0%,5%,28%,57%,17%,45%,37%,57%,,,,,,,,
44,Deville Coffee,"745 Thurlow St, Vancouver, BC V6E 1V8",Coffee shop,49.2834188,-123.1351406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Birds & The Beets,"55 Powell St, Vancouver, BC V6A 1E9",Cafe,49.2833828,-123.1208747,None,None,None,None,None,None,0%,0%,50%,58%,70%,45%,None,80%,74%,40%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,36%,63%,83%,72%,None,61%,63%,56%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,36%,49%,58%,94%,None,43%,45%,56%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,32%,54%,58%,85%,None,58%,40%,27%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,30%,43%,67%,69%,None,100%,47%,18%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,49%,32%,60%,76%,None,87%,85%,34%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,34%,63%,50%,74%,None,87%,65%,63%,0%,0%,0%,0%,0%,0%,0%,0%,67%,50%,67%,100%,92%,81%,76%,,,,,,,,
46,Flying Whale Waterfront Cafe,"999 Canada Pl #201, Vancouver, BC V6C 3E1",Cafe,49.2833828,-123.1208747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Café Kitsuné Vancouver,"157 Water St, Vancouver, BC V6B 1A7",Coffee shop,49.2833828,-123.1208747,None,None,None,None,None,None,0%,0%,0%,10%,30%,15%,None,45%,35%,20%,65%,50%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,20%,35%,None,30%,75%,20%,20%,80%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,10%,10%,25%,None,30%,35%,70%,35%,35%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,40%,5%,5%,None,55%,25%,20%,100%,20%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,5%,50%,15%,None,35%,40%,5%,10%,65%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,5%,10%,40%,None,15%,45%,40%,0%,0%,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,45%,5%,20%,None,30%,35%,45%,60%,5%,0%,0%,0%,0%,0%,0%,40%,35%,60%,25%,5%,25%,30%,,,,,,,,
48,Artigiano Howe,"429 Howe St, Vancouver, BC V6C 2X6",Cafe,49.2859024,-123.133228,None,None,None,None,None,None,0%,7%,None,96%,42%,61%,None,73%,19%,None,34%,7%,0%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,0%,23%,None,76%,61%,None,None,76%,11%,None,15%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,15%,None,23%,26%,None,65%,None,57%,None,80%,15%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,15%,30%,None,46%,42%,None,None,46%,38%,None,65%,19%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,23%,19%,53%,None,65%,34%,None,42%,26%,19%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,34%,15%,53%,None,80%,None,None,46%,15%,19%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,7%,None,65%,34%,53%,None,None,15%,None,65%,15%,15%,None,0%,0%,None,0%,None,,61%,61%,30%,,30%,73%,,,,,,,,
49,Cafe Duello,"426 W Hastings St, Vancouver, BC V6B 1L1",Coffee shop,49.2859024,-123.133228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Breka Bakery & Cafe (Denman),"821 Denman St, Vancouver, BC V6G 2L7",Bakery,49.2913415,-123.1539828,None,11%,9%,11%,4%,12%,14%,17%,30%,32%,62%,53%,None,62%,94%,57%,53%,88%,48%,48%,59%,55%,39%,32%,None,29%,7%,9%,11%,7%,17%,18%,25%,39%,38%,71%,None,53%,62%,98%,56%,50%,83%,43%,44%,59%,45%,38%,None,11%,17%,6%,10%,15%,9%,21%,26%,36%,44%,43%,None,69%,54%,61%,100%,52%,51%,76%,41%,40%,58%,37%,None,18%,11%,11%,5%,13%,26%,14%,30%,30%,53%,48%,None,81%,72%,51%,60%,92%,42%,51%,73%,37%,35%,53%,None,16%,9%,7%,3%,9%,19%,31%,24%,37%,39%,70%,None,51%,85%,67%,51%,56%,86%,39%,51%,69%,33%,31%,None,27%,10%,4%,9%,6%,14%,24%,43%,30%,41%,50%,None,48%,57%,88%,60%,52%,58%,76%,35%,48%,66%,27%,None,13%,17%,4%,8%,10%,12%,22%,29%,51%,44%,47%,None,86%,52%,55%,89%,51%,51%,57%,66%,38%,43%,58%,49%,64%,80%,49%,47%,80%,57%,,43%,17%,28%,25%,38%,21%,17%
51,Breka Bakery & Cafe (Denman),"821 Denman St, Vancouver, BC V6G 2L7",Bakery,49.2913415,-123.1539828,None,11%,9%,11%,4%,12%,14%,17%,30%,32%,62%,53%,None,62%,94%,57%,53%,88%,48%,48%,59%,55%,39%,32%,None,29%,7%,9%,11%,7%,17%,18%,25%,39%,38%,71%,None,53%,62%,98%,56%,50%,83%,43%,44%,59%,45%,38%,None,11%,17%,6%,10%,15%,9%,21%,26%,36%,44%,43%,None,69%,54%,61%,100%,52%,51%,76%,41%,40%,58%,37%,None,18%,11%,11%,5%,13%,26%,14%,30%,30%,53%,48%,None,81%,72%,51%,60%,92%,42%,51%,73%,37%,35%,53%,None,16%,9%,7%,3%,9%,19%,31%,24%,37%,39%,70%,None,51%,85%,67%,51%,56%,86%,39%,51%,69%,33%,31%,None,27%,10%,4%,9%,6%,14%,24%,43%,30%,41%,50%,None,48%,57%,88%,60%,52%,58%,76%,35%,48%,66%,27%,None,13%,17%,4%,8%,10%,12%,22%,29%,51%,44%,47%,None,86%,52%,55%,89%,51%,51%,57%,66%,38%,43%,58%,49%,64%,80%,49%,47%,80%,57%,,43%,17%,28%,25%,38%,21%,17%
