index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.
35,RBC Royal Bank ATM,"200 Burrard St, Vancouver, BC V6C 3L6",ATM,49.2851965,-123.1407438,None,9%,40%,9%,0%,18%,59%,9%,18%,4%,36%,13%,None,45%,68%,27%,0%,0%,4%,36%,40%,22%,9%,9%,None,0%,0%,50%,0%,0%,18%,40%,18%,36%,22%,45%,None,0%,77%,50%,27%,4%,0%,18%,59%,18%,18%,0%,None,27%,0%,4%,0%,4%,18%,45%,45%,27%,63%,54%,None,18%,0%,68%,31%,36%,0%,13%,27%,27%,4%,9%,None,9%,13%,0%,4%,0%,13%,45%,27%,54%,9%,81%,None,36%,13%,4%,100%,13%,81%,4%,27%,54%,18%,4%,None,0%,4%,4%,13%,18%,0%,31%,90%,13%,50%,9%,None,68%,22%,18%,13%,50%,13%,90%,9%,54%,36%,9%,None,4%,0%,0%,27%,4%,18%,0%,18%,68%,0%,72%,None,68%,36%,9%,9%,4%,36%,9%,68%,22%,27%,45%,None,36%,9%,4%,22%,45%,0%,9%,0%,13%,40%,0%,None,50%,50%,13%,9%,4%,18%,31%,13%,27%,9%,13%,0%,13%,77%,81%,59%,18%,,4%,13%,4%,0%,0%,27%,22%,54%
36,Scotiabank,"1108 Homer St, Vancouver, BC V6B 2X6",Bank,49.2851965,-123.1407438,None,None,None,None,None,None,None,0%,0%,33%,30%,22%,None,None,41%,38%,63%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,19%,47%,33%,None,94%,None,52%,25%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,41%,27%,63%,None,41%,97%,None,66%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,50%,50%,None,55%,50%,100%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,63%,None,50%,None,83%,83%,41%,72%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,11%,77%,None,None,66%,83%,72%,36%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,27%,19%,86%,None,30%,61%,72%,0%,0%,0%,None,0%,0%,0%,0%,88%,38%,44%,72%,66%,38%,,,,,,,,,
37,RBC Royal Bank ATM,"909 Burrard St #110, Vancouver, BC V6Z 2N2",ATM,49.2851965,-123.1407438,None,None,None,None,None,None,0%,0%,27%,5%,5%,16%,None,22%,61%,33%,44%,11%,0%,27%,61%,100%,0%,0%,None,None,None,None,None,None,0%,0%,22%,50%,22%,0%,None,61%,50%,27%,55%,27%,22%,0%,11%,33%,0%,0%,None,None,None,None,None,None,0%,0%,11%,38%,22%,16%,None,16%,27%,38%,11%,72%,33%,44%,11%,5%,0%,0%,None,None,None,None,None,None,0%,0%,61%,5%,33%,16%,None,5%,33%,27%,44%,5%,33%,27%,22%,27%,0%,0%,None,None,None,None,None,None,0%,0%,0%,61%,0%,22%,None,11%,0%,66%,16%,16%,16%,16%,50%,16%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,88%,0%,None,0%,16%,0%,33%,27%,16%,61%,11%,38%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,11%,100%,None,38%,5%,22%,0%,16%,22%,27%,72%,11%,0%,0%,66%,5%,0%,11%,0%,38%,,,,,,,,,11%
38,RBC Royal Bank ATM,"610 Granville St, Vancouver, BC V6C 3T3",ATM,49.2851965,-123.1407438,None,42%,14%,52%,42%,33%,38%,9%,61%,9%,19%,4%,None,14%,0%,19%,66%,33%,14%,14%,4%,57%,0%,28%,None,0%,42%,9%,0%,28%,61%,52%,28%,100%,4%,14%,None,9%,19%,0%,28%,33%,19%,33%,42%,9%,71%,0%,None,76%,0%,76%,38%,0%,4%,28%,28%,42%,47%,4%,None,28%,14%,38%,0%,71%,23%,14%,19%,42%,4%,61%,None,4%,52%,0%,71%,28%,4%,0%,19%,14%,38%,23%,None,19%,33%,28%,23%,0%,61%,23%,28%,23%,52%,0%,None,28%,19%,61%,0%,76%,28%,19%,0%,14%,9%,14%,None,47%,9%,47%,19%,23%,14%,85%,57%,19%,38%,38%,None,9%,9%,38%,38%,0%,38%,14%,23%,4%,19%,23%,None,33%,61%,14%,19%,14%,4%,28%,33%,47%,23%,52%,None,33%,23%,4%,28%,28%,0%,38%,9%,38%,14%,28%,None,0%,14%,47%,23%,14%,9%,0%,71%,14%,33%,9%,14%,4%,9%,23%,14%,4%,,4%,52%,0%,38%,0%,28%,28%,9%
39,TD Canada Trust ATM,"109 W Hastings St, Vancouver, BC V6B 1H4",ATM,49.2822397,-123.1254308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RBC Royal Bank,"945 Denman St, Vancouver, BC V6G 2M3",Bank,49.2900346,-123.1561039,None,None,None,None,None,None,None,0%,0%,18%,34%,87%,None,None,75%,65%,31%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,25%,34%,53%,None,68%,None,90%,28%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,21%,40%,50%,None,100%,56%,None,93%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,28%,46%,None,84%,93%,43%,None,65%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,43%,None,31%,None,43%,56%,90%,25%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,46%,68%,None,None,71%,34%,43%,65%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,62%,71%,None,56%,75%,28%,0%,0%,0%,None,0%,0%,0%,0%,75%,87%,68%,62%,62%,40%,,,,,,,,,
41,CIBC World Markets,"400 Burrard St, Vancouver, BC V6C 3A6",Bank,49.2868458,-123.1349292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,RBC Royal Bank - Meeting Place (Cash at ATM Only),"1051 Davie St, Vancouver, BC V6E 1M5",Bank,49.280092,-123.1484734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RBC Royal Bank ATM,"601 W Cordova St, Vancouver, BC V6B 1G1",ATM,49.2859473,-123.1303106,None,50%,60%,70%,0%,50%,40%,30%,20%,20%,20%,10%,None,40%,0%,90%,20%,10%,20%,10%,10%,60%,30%,50%,None,80%,40%,60%,10%,10%,30%,30%,10%,20%,50%,0%,None,50%,70%,0%,100%,20%,40%,40%,20%,30%,30%,30%,None,70%,40%,20%,20%,50%,30%,20%,20%,0%,0%,30%,None,50%,30%,50%,0%,50%,40%,50%,30%,10%,10%,10%,None,30%,60%,10%,20%,20%,70%,40%,10%,0%,0%,10%,None,0%,50%,30%,20%,0%,20%,30%,60%,40%,0%,0%,None,0%,30%,20%,10%,10%,50%,100%,10%,30%,0%,0%,None,40%,0%,70%,10%,0%,0%,10%,30%,60%,10%,0%,None,30%,0%,20%,90%,20%,0%,20%,70%,0%,40%,0%,None,20%,70%,0%,30%,0%,10%,10%,30%,20%,40%,10%,None,50%,50%,0%,40%,80%,40%,10%,20%,30%,0%,40%,None,0%,40%,30%,0%,30%,0%,0%,30%,20%,40%,40%,30%,20%,0%,40%,20%,0%,,70%,70%,20%,0%,10%,10%,20%,10%
44,RBC Royal Bank ATM,"1081 Burrard St, Vancouver, BC V6Z 1Y6",ATM,49.2805457,-123.1462007,None,38%,38%,9%,19%,9%,0%,38%,33%,14%,42%,19%,None,9%,28%,4%,38%,28%,4%,38%,57%,0%,38%,38%,None,19%,42%,19%,9%,4%,9%,4%,19%,14%,33%,47%,None,28%,23%,19%,4%,57%,9%,23%,80%,28%,4%,28%,None,0%,9%,42%,38%,14%,0%,19%,14%,4%,14%,61%,None,9%,23%,9%,19%,14%,52%,4%,57%,42%,14%,9%,None,9%,9%,9%,33%,23%,33%,0%,14%,9%,4%,42%,None,42%,23%,9%,4%,23%,28%,28%,4%,76%,33%,4%,None,19%,19%,19%,9%,28%,33%,38%,4%,19%,14%,9%,None,47%,47%,52%,9%,0%,9%,28%,33%,19%,61%,28%,None,0%,14%,19%,4%,23%,38%,38%,52%,9%,38%,4%,None,52%,23%,42%,23%,4%,14%,4%,23%,61%,38%,76%,None,23%,4%,9%,9%,0%,28%,71%,33%,57%,28%,28%,None,14%,23%,19%,23%,9%,19%,28%,4%,33%,80%,38%,38%,9%,52%,100%,76%,9%,,19%,14%,19%,23%,0%,23%,57%,4%
45,TD Canada Trust Branch and ATM,"1689 Manitoba St, Vancouver, BC V5Y 0B8",Bank,49.2705141,-123.1249124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,RBC Royal Bank - Meeting Place (Cash at ATM only),"1195 Pacific Blvd, Vancouver, BC V6Z 2R8",Bank,49.2743925,-123.1393373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BMO Bank of Montreal,"595 Burrard St, Vancouver, BC V7X 1L7",Bank,49.2859153,-123.1376462,None,None,None,None,None,None,None,0%,36%,44%,None,73%,None,None,87%,90%,67%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,34%,42%,59%,None,None,98%,None,82%,80%,59%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,40%,58%,73%,None,90%,97%,None,78%,61%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,44%,None,60%,71%,None,None,95%,85%,None,55%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,32%,66%,None,73%,None,86%,None,100%,78%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,47%,75%,None,None,89%,77%,None,93%,57%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,37%,None,61%,88%,None,82%,91%,73%,None,77%,0%,None,0%,0%,0%,None,94%,82%,,85%,83%,84%,,,,,,,,,
48,Bank of China,"1055 Dunsmuir St Unit 2608, Vancouver, BC V7X 1L3",Bank,49.2859153,-123.1376462,None,None,None,None,None,None,None,0%,0%,23%,None,73%,None,None,16%,45%,0%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,53%,28%,None,None,73%,None,33%,0%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,28%,65%,53%,None,76%,48%,None,0%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,41%,66%,None,None,58%,20%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,26%,None,33%,None,86%,None,35%,0%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,53%,45%,None,None,51%,91%,None,0%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,73%,61%,None,23%,45%,78%,None,0%,0%,None,0%,0%,0%,None,68%,100%,,66%,70%,20%,,,,,,,,,
49,Vancity Capital Corporation,"815 W Hastings St, Vancouver, BC V6C 1B4",Bank,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,RBC Royal Bank ATM,"1055 W Georgia St, Vancouver, BC V6E 3N9",ATM,49.2859153,-123.1376462,None,0%,9%,36%,9%,18%,45%,0%,63%,72%,9%,9%,None,9%,0%,90%,0%,63%,45%,27%,45%,9%,0%,0%,None,18%,0%,0%,18%,18%,36%,54%,0%,27%,36%,9%,None,9%,9%,9%,54%,9%,36%,45%,54%,27%,9%,9%,None,0%,9%,9%,18%,9%,18%,27%,36%,18%,9%,18%,None,0%,9%,18%,18%,45%,36%,27%,54%,72%,9%,27%,None,36%,0%,9%,9%,9%,9%,0%,27%,18%,45%,0%,None,45%,0%,36%,9%,54%,72%,81%,63%,18%,81%,0%,None,27%,27%,9%,72%,9%,9%,18%,0%,9%,27%,63%,None,27%,45%,9%,36%,0%,36%,63%,90%,54%,9%,27%,None,9%,72%,36%,27%,45%,36%,18%,36%,9%,0%,9%,None,45%,9%,63%,27%,63%,18%,45%,27%,45%,27%,0%,None,18%,27%,72%,9%,36%,18%,72%,45%,27%,27%,9%,None,18%,100%,0%,90%,54%,45%,36%,18%,9%,18%,18%,18%,0%,18%,9%,18%,27%,,45%,0%,18%,18%,0%,18%,0%,0%
51,Laurentian Bank Business Services (appointment only),"777 Hornby St, Vancouver, BC V6Z 1S4",Business banking service,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,State Street Bank & Trust Co,"601 W Cordova St, Vancouver, BC V6B 1M1",Bank,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,UBS Bank (Canada),"999 W Hastings St, Vancouver, BC V6C 2W2",Bank,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Vancity Community Investment Bank,"815 W Hastings St #401, Vancouver, BC V6C 1B4",Bank,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ATM (HSBC),"885 W Georgia St, Vancouver, BC V6C 3G1",ATM,49.2859153,-123.1376462,None,8%,0%,8%,60%,4%,32%,32%,48%,20%,36%,24%,None,44%,0%,64%,24%,28%,28%,12%,8%,20%,20%,20%,None,68%,16%,0%,40%,52%,8%,64%,12%,20%,20%,16%,None,44%,32%,8%,100%,24%,16%,32%,4%,12%,16%,16%,None,12%,44%,28%,24%,24%,36%,24%,48%,0%,16%,8%,None,16%,56%,32%,20%,68%,44%,24%,28%,24%,12%,20%,None,8%,8%,40%,24%,16%,28%,12%,32%,36%,4%,16%,None,0%,28%,36%,48%,40%,64%,60%,28%,12%,40%,16%,None,12%,8%,8%,36%,48%,24%,20%,4%,52%,40%,12%,None,4%,0%,68%,36%,36%,28%,32%,68%,36%,12%,72%,None,16%,20%,16%,8%,60%,76%,20%,36%,4%,44%,64%,None,8%,8%,8%,44%,48%,28%,24%,28%,48%,16%,16%,None,16%,20%,24%,0%,12%,64%,48%,16%,28%,12%,36%,None,4%,28%,20%,20%,48%,24%,8%,32%,32%,24%,28%,60%,16%,8%,4%,8%,16%,,40%,28%,20%,12%,28%,40%,24%,72%
56,RBC Royal Bank ATM,"1187 Robson St, Vancouver, BC V6E 1B5",ATM,49.2859153,-123.1376462,None,None,None,None,None,None,0%,0%,0%,22%,11%,22%,None,44%,100%,55%,11%,44%,44%,77%,33%,11%,0%,0%,None,None,None,None,None,None,0%,0%,0%,33%,22%,33%,None,22%,22%,88%,44%,33%,33%,66%,33%,55%,0%,0%,None,None,None,None,None,None,0%,0%,0%,11%,11%,0%,None,22%,0%,11%,77%,22%,77%,44%,66%,11%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,11%,0%,None,66%,33%,0%,11%,55%,0%,44%,44%,44%,0%,0%,None,None,None,None,None,None,0%,0%,0%,77%,11%,11%,None,11%,44%,11%,0%,22%,55%,11%,44%,33%,0%,0%,None,None,None,None,None,None,0%,0%,0%,33%,77%,33%,None,33%,22%,33%,11%,11%,11%,22%,44%,11%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,44%,100%,None,55%,33%,11%,22%,44%,33%,11%,11%,66%,0%,0%,55%,22%,33%,11%,22%,44%,,,,,,,,,33%
57,Wealth One Bank of Canada,"1021 W Hastings St #2350, Vancouver, BC V6C 0B2",Bank,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Scotia Bank ATM in 7-Eleven,"596 Seymour St, Vancouver, BC V6B 1Y4",ATM,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,TD Canada Trust ATM,"Library Square, 345 Robson St, Vancouver, BC V6B 6B3",ATM,49.2859153,-123.1376462,None,0%,25%,12%,29%,37%,12%,4%,66%,37%,54%,0%,None,41%,25%,54%,54%,16%,66%,91%,33%,16%,25%,0%,None,45%,8%,20%,12%,20%,50%,16%,8%,54%,66%,29%,None,8%,50%,29%,100%,37%,25%,41%,95%,20%,12%,50%,None,4%,20%,16%,20%,29%,20%,25%,33%,16%,75%,45%,None,0%,20%,33%,37%,75%,37%,12%,45%,79%,8%,20%,None,16%,8%,12%,16%,16%,12%,20%,29%,16%,25%,58%,None,8%,12%,45%,37%,70%,45%,58%,8%,20%,45%,4%,None,25%,12%,8%,66%,33%,20%,8%,41%,25%,8%,37%,None,20%,8%,29%,70%,20%,41%,29%,29%,8%,16%,50%,None,4%,45%,12%,29%,33%,33%,37%,20%,20%,33%,4%,None,37%,29%,16%,62%,62%,29%,41%,12%,12%,16%,8%,None,41%,4%,45%,41%,12%,16%,45%,29%,45%,12%,16%,None,41%,37%,50%,12%,45%,62%,25%,29%,16%,0%,25%,16%,0%,20%,50%,41%,58%,,37%,4%,25%,25%,12%,29%,0%,20%
60,Canadian Western Bank Regional Office,"1040 W Georgia St #1500, Vancouver, BC V6E 4H1",Bank,49.2859153,-123.1376462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
