index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
37,Park in front of Wall Center,"Burrard and Comox, Vancouver, BC V6Z 2S3",Park,49.2808433,-123.1439043,None,100%,16%,12%,12%,12%,20%,0%,32%,12%,20%,16%,None,44%,8%,12%,0%,20%,8%,28%,8%,0%,8%,4%,None,4%,84%,12%,16%,0%,32%,8%,4%,24%,0%,40%,None,28%,32%,20%,16%,4%,20%,12%,12%,4%,0%,0%,None,12%,4%,40%,72%,8%,4%,24%,12%,12%,28%,0%,None,28%,24%,20%,32%,28%,4%,28%,24%,24%,4%,0%,None,0%,32%,8%,0%,56%,4%,8%,28%,16%,4%,44%,None,12%,12%,36%,12%,32%,64%,16%,24%,12%,52%,12%,None,0%,0%,68%,4%,0%,56%,4%,16%,16%,44%,0%,None,0%,12%,4%,72%,20%,52%,48%,36%,28%,8%,80%,None,12%,0%,0%,28%,12%,8%,52%,8%,8%,16%,36%,None,28%,0%,8%,4%,76%,8%,24%,36%,40%,52%,28%,None,48%,8%,0%,8%,20%,4%,16%,36%,12%,8%,20%,None,8%,12%,0%,8%,8%,68%,8%,12%,12%,16%,28%,20%,20%,32%,0%,0%,20%,0%,0%,28%,24%,0%,60%,72%,52%,
38,Vanier Park,"1000 Chestnut St, Vancouver, BC V6J 3J9",Park,49.277288,-123.161574,None,None,None,None,None,0%,4%,12%,13%,33%,42%,56%,None,57%,42%,75%,48%,37%,32%,30%,29%,15%,0%,None,None,None,None,None,None,0%,5%,11%,24%,25%,44%,47%,None,100%,46%,38%,58%,43%,38%,23%,22%,20%,0%,None,None,None,None,None,None,0%,7%,16%,22%,33%,37%,51%,None,72%,95%,43%,36%,38%,39%,40%,15%,13%,0%,None,None,None,None,None,None,0%,9%,12%,30%,39%,42%,52%,None,44%,75%,85%,42%,36%,27%,36%,36%,10%,0%,None,None,None,None,None,None,0%,8%,14%,19%,52%,57%,47%,None,53%,40%,69%,73%,42%,35%,22%,31%,27%,0%,None,None,None,None,None,None,0%,4%,13%,22%,30%,73%,67%,None,75%,52%,36%,57%,56%,43%,30%,18%,24%,0%,None,None,None,None,None,None,0%,7%,8%,20%,30%,45%,88%,None,47%,80%,52%,34%,42%,42%,38%,24%,12%,0%,None,96%,,66%,,,48%,,52%,62%,,49%,,,64%,
39,Coal Harbour Seaside park,"Vancouver, BC",Park,49.2905712,-123.1404634,None,62%,16%,45%,20%,66%,20%,0%,12%,4%,20%,41%,None,0%,33%,54%,20%,0%,0%,66%,37%,4%,50%,20%,None,29%,37%,16%,25%,20%,100%,4%,4%,41%,0%,8%,None,8%,4%,20%,66%,33%,0%,4%,45%,16%,8%,54%,None,25%,50%,45%,4%,33%,25%,45%,4%,8%,54%,0%,None,29%,8%,0%,12%,41%,16%,0%,8%,50%,8%,29%,None,33%,16%,25%,25%,4%,79%,20%,25%,8%,16%,95%,None,16%,41%,12%,0%,33%,41%,12%,0%,33%,50%,0%,None,54%,54%,16%,0%,25%,12%,75%,25%,12%,4%,25%,None,0%,4%,33%,33%,0%,45%,16%,16%,0%,33%,25%,None,4%,29%,29%,58%,0%,16%,29%,79%,33%,29%,0%,None,33%,0%,0%,16%,41%,8%,37%,16%,12%,0%,54%,None,12%,20%,8%,54%,29%,0%,20%,12%,37%,25%,20%,None,70%,29%,12%,0%,4%,50%,16%,12%,37%,25%,4%,20%,20%,25%,20%,33%,12%,62%,0%,50%,0%,37%,12%,41%,0%,
40,Hinge Park,"215 W 1st Ave, Vancouver, BC V5Y 0E5",Park,49.2712552,-123.1281499,None,20%,19%,5%,1%,17%,16%,29%,46%,36%,39%,40%,None,39%,90%,54%,68%,72%,48%,32%,45%,26%,33%,6%,None,15%,12%,16%,20%,0%,30%,9%,32%,50%,33%,56%,None,54%,53%,100%,62%,63%,54%,32%,18%,40%,20%,15%,None,12%,22%,5%,2%,10%,5%,39%,6%,41%,44%,19%,None,65%,40%,70%,94%,51%,38%,54%,22%,20%,34%,11%,None,2%,8%,18%,3%,2%,8%,16%,45%,4%,51%,41%,None,77%,84%,41%,90%,73%,45%,17%,31%,13%,17%,18%,None,5%,3%,6%,22%,13%,6%,15%,32%,58%,10%,60%,None,37%,70%,94%,52%,88%,38%,25%,6%,19%,12%,25%,None,9%,13%,1%,10%,19%,32%,17%,16%,39%,66%,22%,None,45%,55%,69%,86%,54%,83%,25%,27%,9%,9%,16%,None,19%,8%,18%,15%,10%,29%,46%,33%,29%,44%,74%,None,77%,52%,67%,66%,70%,41%,63%,26%,25%,5%,8%,61%,9%,46%,6%,6%,69%,5%,20%,47%,11%,66%,24%,19%,30%,
41,George Wainborn Park,"450 Beach Crescent, Vancouver, BC V6Z 3G1",Park,49.2724892,-123.1473684,None,17%,15%,7%,8%,1%,3%,11%,6%,16%,46%,28%,None,41%,91%,47%,34%,57%,43%,30%,26%,32%,9%,27%,None,9%,18%,14%,12%,7%,0%,5%,11%,12%,18%,57%,None,29%,50%,100%,61%,27%,51%,37%,29%,21%,24%,10%,None,11%,8%,11%,0%,10%,10%,1%,12%,22%,24%,25%,None,38%,36%,59%,89%,68%,24%,37%,31%,26%,18%,12%,None,6%,4%,12%,4%,1%,13%,19%,6%,12%,31%,27%,None,53%,44%,41%,59%,81%,68%,24%,25%,18%,19%,18%,None,8%,5%,0%,15%,10%,4%,14%,21%,13%,24%,52%,None,31%,53%,51%,44%,58%,62%,56%,33%,30%,11%,9%,None,15%,13%,4%,2%,12%,7%,8%,17%,18%,18%,29%,None,37%,31%,54%,55%,41%,47%,43%,29%,28%,31%,8%,None,8%,9%,16%,6%,0%,14%,6%,9%,26%,24%,24%,None,81%,40%,35%,61%,53%,39%,43%,37%,17%,30%,31%,25%,14%,40%,25%,7%,54%,8%,25%,36%,12%,62%,8%,10%,40%,
42,David Lam Park,"1300 Pacific Blvd, Vancouver, BC V6Z 2Y1",Park,49.2724892,-123.1473684,None,5%,2%,3%,0%,4%,5%,9%,11%,17%,33%,21%,None,28%,77%,32%,22%,92%,18%,15%,72%,47%,9%,7%,None,8%,4%,1%,1%,1%,6%,7%,16%,15%,16%,50%,None,24%,34%,91%,33%,21%,95%,14%,10%,52%,24%,6%,None,4%,5%,1%,0%,1%,4%,9%,13%,24%,17%,19%,None,31%,26%,42%,100%,32%,20%,95%,10%,8%,33%,10%,None,3%,2%,2%,3%,1%,3%,6%,13%,16%,34%,18%,None,79%,36%,26%,52%,98%,27%,17%,84%,8%,7%,20%,None,2%,3%,1%,2%,3%,2%,5%,10%,16%,20%,40%,None,28%,90%,35%,25%,64%,95%,20%,14%,61%,6%,6%,None,4%,2%,2%,4%,2%,6%,6%,9%,13%,18%,24%,None,24%,29%,96%,31%,23%,76%,87%,14%,11%,35%,4%,None,2%,3%,1%,3%,3%,5%,6%,13%,17%,17%,21%,None,60%,28%,26%,94%,24%,20%,80%,71%,11%,8%,17%,23%,10%,26%,5%,4%,66%,4%,22%,19%,10%,48%,3%,4%,26%,
43,Helmcken Park,"1103 Pacific Blvd, Vancouver, BC V6B 6J5",Park,49.2750648,-123.1378382,None,None,None,None,None,0%,21%,42%,14%,0%,28%,0%,None,28%,7%,50%,7%,35%,42%,21%,50%,64%,0%,None,None,None,None,None,None,0%,42%,14%,28%,28%,0%,64%,None,42%,14%,21%,57%,14%,71%,28%,35%,35%,0%,None,None,None,None,None,None,0%,0%,50%,21%,21%,64%,0%,None,7%,71%,14%,42%,42%,14%,71%,35%,42%,0%,None,None,None,None,None,None,0%,28%,7%,42%,7%,21%,42%,None,71%,21%,78%,21%,28%,57%,28%,64%,28%,0%,None,None,None,None,None,None,0%,0%,28%,14%,14%,0%,7%,None,7%,28%,7%,100%,50%,14%,64%,64%,28%,0%,None,None,None,None,None,None,0%,0%,7%,14%,7%,0%,7%,None,57%,14%,21%,14%,57%,35%,28%,50%,64%,0%,None,None,None,None,None,None,0%,35%,0%,0%,14%,0%,0%,None,0%,85%,7%,28%,28%,42%,42%,50%,57%,0%,None,14%,,0%,,,85%,,0%,64%,,0%,,,14%,
44,MacLean Park,"710 Keefer St, Vancouver, BC V6A 1Y6",Park,49.2788157,-123.1064698,None,None,None,None,None,None,None,0%,4%,44%,52%,74%,None,None,74%,58%,76%,0%,32%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,18%,14%,48%,74%,None,57%,None,57%,64%,64%,0%,28%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,30%,30%,53%,None,85%,66%,None,60%,0%,46%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,18%,None,41%,46%,None,100%,93%,72%,None,0%,0%,28%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,18%,46%,None,66%,None,53%,98%,82%,60%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,34%,36%,69%,None,None,53%,56%,84%,64%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,33%,41%,53%,68%,None,70%,56%,66%,61%,41%,0%,None,0%,0%,0%,0%,56%,,86%,,,82%,,49%,42%,,64%,,,,
45,Trillium Park,"600 National Ave, Vancouver, BC V6A 2E5",Park,49.2788157,-123.1064698,None,None,None,None,None,0%,47%,39%,21%,41%,55%,44%,None,50%,62%,39%,34%,56%,48%,28%,100%,49%,0%,None,None,None,None,None,None,0%,8%,53%,42%,30%,38%,59%,None,45%,46%,60%,37%,30%,64%,69%,20%,92%,0%,None,None,None,None,None,None,0%,36%,21%,53%,38%,31%,37%,None,47%,46%,42%,57%,35%,27%,75%,96%,13%,0%,None,None,None,None,None,None,0%,40%,34%,33%,50%,38%,36%,None,52%,50%,46%,36%,48%,30%,32%,74%,93%,0%,None,None,None,None,None,None,0%,42%,46%,34%,44%,49%,42%,None,46%,45%,44%,40%,37%,45%,38%,33%,69%,0%,None,None,None,None,None,None,0%,4%,49%,50%,37%,53%,48%,None,38%,45%,42%,40%,37%,55%,40%,41%,30%,0%,None,None,None,None,None,None,0%,34%,12%,48%,47%,41%,55%,None,60%,37%,41%,47%,38%,32%,77%,56%,39%,0%,None,51%,,45%,,,56%,,41%,37%,,51%,,,52%,
46,Strathcona Linear Park,"787 Prior St, Vancouver, BC V6A 2G8",Park,49.2788157,-123.1064698,None,None,None,None,None,0%,7%,0%,7%,38%,7%,15%,None,30%,7%,15%,46%,53%,61%,23%,38%,0%,0%,None,None,None,None,None,None,0%,23%,23%,0%,0%,30%,15%,None,7%,7%,15%,7%,38%,61%,38%,15%,38%,0%,None,None,None,None,None,None,0%,0%,38%,46%,0%,7%,23%,None,23%,7%,0%,46%,7%,38%,38%,23%,23%,0%,None,None,None,None,None,None,0%,15%,7%,23%,61%,7%,23%,None,69%,15%,0%,7%,100%,23%,53%,30%,7%,0%,None,None,None,None,None,None,0%,38%,15%,15%,23%,61%,23%,None,38%,30%,23%,7%,38%,84%,53%,46%,7%,0%,None,None,None,None,None,None,0%,7%,30%,23%,15%,38%,69%,None,61%,76%,23%,38%,30%,53%,46%,61%,53%,0%,None,None,None,None,None,None,0%,7%,0%,23%,30%,23%,15%,None,23%,30%,69%,23%,38%,46%,69%,7%,30%,0%,None,7%,,23%,,,30%,,30%,30%,,15%,,,38%,
47,Nelson Park Dog Park,"1030 Bute St, Vancouver, BC V6E 1Y9",Dog park,49.2831384,-123.1487389,None,None,None,None,None,None,0%,19%,18%,37%,37%,42%,None,66%,59%,72%,54%,48%,15%,51%,18%,0%,0%,0%,None,None,None,None,None,None,0%,19%,29%,32%,58%,44%,None,54%,68%,63%,74%,41%,49%,15%,24%,0%,0%,0%,None,None,None,None,None,None,0%,14%,40%,45%,42%,76%,None,45%,54%,71%,58%,74%,33%,41%,19%,0%,0%,0%,None,None,None,None,None,None,0%,15%,16%,38%,63%,55%,None,46%,45%,61%,63%,58%,58%,32%,37%,0%,0%,0%,None,None,None,None,None,None,0%,15%,20%,22%,64%,68%,None,100%,54%,38%,71%,61%,44%,42%,25%,0%,0%,0%,None,None,None,None,None,None,0%,11%,16%,33%,31%,72%,None,51%,93%,50%,38%,84%,48%,36%,27%,0%,0%,0%,None,None,None,None,None,None,0%,9%,31%,33%,31%,53%,None,63%,55%,67%,42%,20%,72%,35%,22%,0%,0%,0%,50%,,41%,,,41%,,100%,55%,,72%,,,76%,
48,Dandelilion Green Grass Park,"1401 Robson St, Vancouver, BC V6G 1C1",Park,49.2831384,-123.1487389,None,13%,13%,13%,6%,6%,20%,26%,40%,6%,13%,13%,None,0%,0%,20%,6%,13%,20%,26%,26%,26%,33%,53%,None,13%,6%,13%,13%,13%,20%,26%,13%,13%,0%,26%,None,0%,0%,0%,6%,0%,6%,53%,13%,20%,26%,73%,None,100%,20%,0%,6%,33%,20%,20%,40%,20%,6%,0%,None,13%,6%,0%,0%,20%,0%,0%,33%,6%,6%,40%,None,80%,66%,13%,33%,6%,26%,20%,6%,20%,20%,20%,None,6%,6%,13%,0%,6%,13%,0%,0%,13%,0%,0%,None,13%,60%,46%,6%,26%,6%,13%,6%,0%,6%,33%,None,13%,6%,0%,33%,6%,26%,0%,6%,6%,6%,0%,None,0%,20%,66%,33%,6%,20%,20%,6%,6%,13%,0%,None,80%,26%,13%,0%,66%,6%,20%,0%,26%,20%,13%,None,6%,0%,26%,6%,33%,13%,33%,20%,6%,6%,20%,None,6%,40%,13%,13%,6%,33%,13%,26%,6%,33%,6%,6%,0%,26%,53%,86%,13%,20%,6%,40%,6%,13%,0%,26%,6%,
49,Georgia Dog Park,"1601 W Georgia St, Vancouver, BC V6G 2V5",Dog park,49.2831384,-123.1487389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Strathcona Park,"857 Malkin Ave, Vancouver, BC V6A 2K5",Park,49.2751785,-123.1027224,None,4%,2%,6%,4%,5%,33%,5%,13%,29%,60%,67%,None,65%,79%,76%,70%,58%,49%,42%,15%,33%,13%,19%,None,15%,6%,0%,7%,2%,15%,38%,20%,24%,39%,77%,None,62%,62%,69%,63%,63%,50%,37%,31%,18%,24%,4%,None,15%,6%,8%,15%,7%,7%,27%,26%,43%,39%,48%,None,62%,56%,47%,59%,48%,53%,33%,28%,30%,13%,12%,None,0%,25%,5%,6%,13%,15%,14%,35%,30%,66%,60%,None,79%,58%,60%,53%,52%,43%,45%,16%,16%,26%,10%,None,4%,0%,20%,6%,9%,14%,18%,34%,43%,39%,79%,None,81%,75%,57%,67%,47%,39%,37%,32%,14%,16%,20%,None,7%,5%,5%,11%,2%,5%,15%,33%,41%,48%,48%,None,79%,86%,68%,57%,55%,36%,32%,31%,23%,21%,12%,None,7%,8%,6%,0%,27%,0%,6%,19%,43%,62%,60%,None,96%,78%,73%,65%,50%,46%,24%,33%,22%,21%,26%,64%,21%,73%,16%,0%,82%,10%,64%,73%,5%,100%,15%,5%,60%,
51,New Urban Park to come 2021 - Lot 34 - 872 Richards St,"872 Richards St, Vancouver, BC V6B 3B4",Park,49.2791748,-123.136761,None,20%,20%,20%,0%,0%,10%,10%,0%,10%,0%,0%,None,20%,0%,10%,10%,60%,30%,10%,10%,20%,0%,20%,None,30%,10%,0%,0%,0%,10%,30%,40%,10%,10%,10%,None,30%,40%,0%,10%,20%,30%,20%,0%,10%,50%,10%,None,20%,10%,0%,30%,0%,20%,0%,10%,50%,20%,20%,None,0%,30%,40%,0%,20%,50%,30%,10%,10%,30%,20%,None,60%,20%,0%,10%,10%,10%,20%,10%,10%,60%,50%,None,50%,0%,40%,20%,0%,10%,20%,40%,30%,10%,70%,None,20%,30%,30%,10%,20%,0%,30%,20%,10%,30%,100%,None,0%,70%,0%,30%,10%,0%,10%,10%,50%,20%,30%,None,20%,40%,10%,10%,0%,10%,20%,10%,20%,30%,40%,None,50%,0%,40%,10%,40%,10%,0%,20%,0%,30%,20%,None,20%,10%,20%,0%,0%,0%,0%,20%,10%,10%,20%,None,20%,20%,0%,40%,30%,30%,20%,10%,10%,10%,30%,30%,20%,10%,40%,30%,20%,20%,10%,40%,50%,50%,20%,20%,20%,
52,Stanley Park Dog Park,"Vancouver, BC",Dog park,49.2926029,-123.1628909,None,None,None,None,None,0%,33%,0%,22%,11%,0%,22%,None,11%,11%,0%,77%,11%,11%,44%,11%,0%,55%,None,None,None,None,None,None,0%,55%,77%,11%,11%,22%,11%,None,33%,0%,22%,11%,55%,22%,0%,33%,33%,11%,None,None,None,None,None,None,0%,100%,22%,100%,33%,0%,11%,None,0%,11%,22%,22%,33%,55%,33%,0%,33%,11%,None,None,None,None,None,None,0%,44%,66%,22%,66%,77%,11%,None,55%,11%,0%,44%,11%,33%,33%,22%,0%,11%,None,None,None,None,None,None,0%,11%,22%,66%,55%,33%,88%,None,11%,22%,22%,0%,66%,0%,55%,44%,55%,0%,None,None,None,None,None,None,0%,11%,0%,11%,66%,55%,11%,None,11%,33%,11%,22%,11%,22%,0%,55%,44%,22%,None,None,None,None,None,None,0%,11%,11%,0%,0%,22%,100%,None,11%,0%,66%,0%,22%,22%,11%,0%,55%,44%,None,66%,,0%,,,22%,,0%,22%,,44%,,,22%,
53,Charleson Park,"999 Charleson Street, Vancouver, BC V5Z 4A2",Park,49.2666094,-123.1439729,None,None,None,None,None,0%,10%,23%,23%,32%,48%,53%,None,30%,35%,93%,53%,39%,40%,47%,17%,21%,0%,None,None,None,None,None,None,0%,6%,9%,32%,28%,40%,58%,None,85%,41%,43%,100%,44%,27%,33%,37%,17%,0%,None,None,None,None,None,None,0%,12%,7%,20%,34%,46%,52%,None,45%,89%,47%,42%,83%,44%,17%,22%,33%,0%,None,None,None,None,None,None,0%,11%,14%,16%,24%,36%,56%,None,50%,42%,85%,42%,39%,68%,36%,15%,21%,0%,None,None,None,None,None,None,0%,7%,16%,31%,32%,27%,41%,None,46%,51%,35%,73%,37%,38%,48%,25%,15%,0%,None,None,None,None,None,None,0%,6%,9%,28%,47%,48%,31%,None,70%,57%,59%,27%,64%,29%,29%,36%,28%,0%,None,None,None,None,None,None,0%,10%,8%,19%,42%,56%,67%,None,40%,85%,53%,57%,29%,50%,19%,30%,28%,0%,None,77%,,53%,,,54%,,51%,66%,,38%,,,29%,
54,"Lost Lagoon, Stanley Park","Lost Lagoon Path, Vancouver, BC",Scenic spot,49.2957867,-123.1594208,None,7%,15%,19%,69%,23%,26%,3%,23%,11%,7%,34%,None,53%,30%,100%,15%,3%,0%,0%,26%,11%,26%,42%,None,7%,34%,7%,46%,30%,46%,23%,0%,19%,0%,0%,None,23%,88%,15%,73%,30%,11%,0%,0%,50%,3%,11%,None,30%,3%,38%,46%,69%,15%,23%,46%,0%,23%,3%,None,3%,15%,46%,11%,73%,73%,34%,0%,0%,38%,0%,None,11%,23%,15%,3%,38%,76%,0%,11%,34%,0%,26%,None,0%,0%,11%,42%,7%,38%,61%,38%,3%,0%,26%,None,7%,23%,23%,3%,7%,50%,57%,15%,0%,53%,0%,None,11%,3%,0%,3%,46%,19%,57%,61%,69%,15%,3%,None,7%,15%,11%,11%,3%,15%,61%,30%,34%,3%,34%,None,34%,19%,11%,0%,0%,38%,7%,53%,38%,42%,11%,None,23%,7%,7%,11%,11%,11%,23%,30%,15%,73%,11%,None,15%,69%,7%,3%,0%,0%,26%,7%,65%,50%,42%,15%,19%,15%,30%,3%,0%,7%,7%,19%,15%,11%,7%,7%,61%,
55,Hinge Park Playground,"1690 Columbia St #1634, Vancouver, BC V5Y 0A6",Playground,49.270836,-123.1278649,None,None,None,None,None,0%,10%,13%,0%,44%,0%,58%,None,10%,17%,24%,34%,31%,55%,37%,34%,10%,0%,None,None,None,None,None,None,0%,10%,3%,27%,3%,31%,3%,None,20%,6%,48%,51%,34%,13%,65%,37%,27%,0%,None,None,None,None,None,None,0%,17%,24%,0%,41%,6%,27%,None,27%,10%,20%,58%,65%,65%,6%,37%,37%,0%,None,None,None,None,None,None,0%,41%,34%,48%,6%,58%,3%,None,24%,24%,13%,44%,100%,51%,55%,0%,31%,0%,None,None,None,None,None,None,0%,24%,24%,24%,34%,17%,55%,None,55%,17%,17%,24%,44%,48%,20%,75%,17%,0%,None,None,None,None,None,None,0%,20%,44%,17%,31%,17%,27%,None,3%,62%,27%,20%,55%,27%,27%,13%,44%,0%,None,None,None,None,None,None,0%,10%,6%,34%,3%,51%,6%,None,24%,13%,31%,20%,41%,34%,24%,6%,13%,0%,None,10%,,48%,,,10%,,48%,3%,,34%,,,13%,
56,May & Lorne Brown Park,"801 Beach Ave, Vancouver, BC",Park,49.2751584,-123.1500809,None,None,None,None,None,0%,20%,0%,0%,10%,3%,6%,None,13%,31%,34%,0%,51%,89%,20%,31%,17%,0%,None,None,None,None,None,None,0%,31%,41%,3%,10%,13%,0%,None,58%,3%,13%,17%,0%,75%,58%,37%,20%,0%,None,None,None,None,None,None,0%,0%,17%,68%,13%,27%,31%,None,20%,51%,0%,20%,3%,0%,44%,17%,58%,0%,None,None,None,None,None,None,0%,31%,3%,17%,51%,20%,65%,None,3%,44%,48%,6%,41%,0%,3%,37%,6%,0%,None,None,None,None,None,None,0%,10%,20%,10%,13%,27%,34%,None,24%,10%,37%,24%,17%,72%,0%,10%,48%,0%,None,None,None,None,None,None,0%,0%,13%,20%,20%,13%,17%,None,65%,6%,6%,55%,20%,37%,65%,0%,3%,0%,None,None,None,None,None,None,0%,6%,0%,10%,6%,10%,24%,None,27%,65%,6%,24%,100%,13%,31%,41%,3%,0%,None,55%,,10%,,,0%,,20%,75%,,41%,,,10%,
